"","H2","H3","H6","H7","H8","W1","W10","W6","W7","W9"
"A1CF_ENSSSCG00000010431_ENSSSCT00000062282_237_2022_6937",0,0,0,0,0,1,0,0,0,0
"A2ML1_ENSSSCG00000000664_ENSSSCT00000000720_0_4497_4647",0,36,26,0,42,0,0,0,0,1
"A2M_ENSSSCG00000000660_ENSSSCT00000073778_0_4332_5181",33,19,28,12,12,15,5,55,285,283
"A4GALT_ENSSSCG00000026962_ENSSSCT00000061122_211_1288_2712",8,8,5,15,28,8,42,52,118,118
"A4GNT_ENSSSCG00000022473_ENSSSCT00000025162_97_1117_3147",0,1,0,0,0,0,0,0,0,0
"AAAS_ENSSSCG00000000268_ENSSSCT00000000287_134_1772_2023",4,17,13,13,42,15,117,97,209,220
"AACS_ENSSSCG00000009755_ENSSSCT00000079199_172_2221_3306",2,11,13,17,30,11,93,74,149,137
"AADAC_ENSSSCG00000031367_ENSSSCT00000053002_48_1245_4363",0,0,0,1,0,1,0,0,0,0
"AAGAB_ENSSSCG00000004951_ENSSSCT00000005463_37_1021_2718",8,6,7,5,7,5,25,19,81,77
"AAK1_ENSSSCG00000008337_ENSSSCT00000072633_416_4364_6733",12,12,31,19,18,18,126,208,171,208
"AAMDC_ENSSSCG00000037251_ENSSSCT00000066013_84_450_481",0,2,5,2,4,4,39,12,62,59
"AAMP_ENSSSCG00000016189_ENSSSCT00000107092_166_1468_1879",34,13,36,33,72,31,228,216,408,471
"AANAT_ENSSSCG00000017176_ENSSSCT00000060994_0_825_1051",0,0,0,0,0,0,0,0,1,0
"AAR2_ENSSSCG00000007315_ENSSSCT00000076723_305_1511_1971",6,10,6,5,24,8,51,54,106,134
"AARD_ENSSSCG00000006013_ENSSSCT00000006599_67_526_1490",0,0,0,0,0,0,0,0,0,0
"AARS1_ENSSSCG00000002723_ENSSSCT00000003017_276_3177_3545",42,37,49,52,181,65,496,440,869,948
"AARS2_ENSSSCG00000001706_ENSSSCT00000041366_82_3127_3130",10,21,6,15,33,10,87,49,141,155
"AARSD1_ENSSSCG00000037979_ENSSSCT00000045784_107_1343_1539",20,29,18,14,74,19,159,142,223,241
"AASDHPPT_ENSSSCG00000014998_ENSSSCT00000060544_630_1635_3481",3,1,11,8,18,1,13,0,21,36
"AASDH_ENSSSCG00000027403_ENSSSCT00000053182_542_3974_8393",8,18,19,7,43,12,110,49,192,163
"AASS_ENSSSCG00000016613_ENSSSCT00000047587_119_3002_5608",1,0,1,0,5,1,0,0,11,1
"AATF_ENSSSCG00000017693_ENSSSCT00000019257_133_1840_2115",10,38,39,16,29,26,145,167,397,389
"AATK_ENSSSCG00000017141_ENSSSCT00000023391_72_4206_5326",0,2,0,0,2,0,0,0,0,0
"ABAT_ENSSSCG00000007909_ENSSSCT00000039445_800_2207_6364",0,83,1,0,175,0,0,0,1,2
"ABCA12_ENSSSCG00000034282_ENSSSCT00000042475_0_7779_7782",0,2,1,0,2,2,0,0,0,0
"ABCA13_ENSSSCG00000031141_ENSSSCT00000058276_0_13968_14972",4,24,26,19,19,12,35,67,155,239
"ABCA1_ENSSSCG00000005423_ENSSSCT00000005966_383_7160_10401",31,19,13,25,24,28,45,0,376,735
"ABCA2_ENSSSCG00000039264_ENSSSCT00000092858_53_7355_8038",62,155,147,111,73,90,609,525,1373,1345
"ABCA3_ENSSSCG00000008051_ENSSSCT00000038707_336_5697_6397",15,83,57,30,56,23,73,102,409,357
"ABCA4_ENSSSCG00000006890_ENSSSCT00000007545_0_6825_7562",1,2,1,0,0,1,0,0,0,17
"ABCA5_ENSSSCG00000017255_ENSSSCT00000033236_243_5169_5358",1,5,5,7,4,4,40,19,38,41
"ABCA6_ENSSSCG00000017256_ENSSSCT00000031470_239_5078_6395",1,0,122,1,0,0,1,0,1,1
"ABCA7_ENSSSCG00000023121_ENSSSCT00000023050_379_6772_6879",31,131,160,95,106,94,736,559,1359,1391
"ABCA8_ENSSSCG00000026473_ENSSSCT00000030371_243_5124_5395",1,2,1,0,1,1,0,0,8,8
"ABCA9_ENSSSCG00000017257_ENSSSCT00000023395_561_5430_6310",2,2,2,1,4,3,31,17,59,20
"ABCB10_ENSSSCG00000010188_ENSSSCT00000011154_0_2172_3810",7,13,11,3,10,14,153,19,221,195
"ABCB11_ENSSSCG00000015926_ENSSSCT00000017343_0_4125_5395",0,0,0,1,0,1,0,0,0,0
"ABCB5_ENSSSCG00000015377_ENSSSCT00000084938_333_3735_4696",0,2,0,0,5,2,0,0,0,0
"ABCB6_ENSSSCG00000016210_ENSSSCT00000017651_146_2675_2837",8,6,4,3,16,6,30,14,82,95
"ABCB7_ENSSSCG00000012424_ENSSSCT00000038920_10_2266_3270",11,13,28,19,66,28,241,142,415,423
"ABCB8_ENSSSCG00000027986_ENSSSCT00000085588_75_2442_2633",3,16,22,15,48,28,175,173,362,376
"ABCB9_ENSSSCG00000009784_ENSSSCT00000010726_250_2554_3501",3,10,5,1,13,1,4,16,17,28
"ABCC10_ENSSSCG00000001680_ENSSSCT00000001875_146_4616_4934",21,90,33,51,54,50,381,238,724,810
"ABCC11_ENSSSCG00000032298_ENSSSCT00000062565_150_4089_4375",1,1,1,0,0,1,0,0,0,1
"ABCC12_ENSSSCG00000022813_ENSSSCT00000022385_305_4385_5389",0,0,1,0,0,0,0,0,0,0
"ABCC2_ENSSSCG00000010543_ENSSSCT00000011534_116_4739_10319",1,2,0,1,6,1,0,0,0,0
"ABCC3_ENSSSCG00000017561_ENSSSCT00000078746_55_4636_8040",5,4,8,8,46,6,3,5,102,112
"ABCC5_ENSSSCG00000011782_ENSSSCT00000042585_75_3849_4234",2,3,10,6,23,7,57,13,76,111
"ABCC6_ENSSSCG00000007873_ENSSSCT00000041197_68_4571_5057",0,1,0,0,9,1,0,1,7,3
"ABCC8_ENSSSCG00000013378_ENSSSCT00000014612_65_4805_4910",0,1,0,0,235,0,0,0,0,1
"ABCC9_ENSSSCG00000000571_ENSSSCT00000000614_228_4875_7344",0,3,2,0,1,0,0,0,0,0
"ABCD1_ENSSSCG00000012779_ENSSSCT00000095204_482_2714_2717",11,14,9,13,5,11,60,46,165,170
"ABCD2_ENSSSCG00000000781_ENSSSCT00000000845_391_2614_4896",0,0,1,0,0,0,0,0,0,0
"ABCD3_ENSSSCG00000028620_ENSSSCT00000032329_0_1944_1989",8,8,19,4,20,8,68,29,95,115
"ABCD4_ENSSSCG00000038231_ENSSSCT00000037529_85_1897_2356",10,8,13,6,31,8,52,37,113,129
"ABCE1_ENSSSCG00000009043_ENSSSCT00000076692_132_1944_4349",15,10,31,15,49,18,189,68,272,251
"ABCF1_ENSSSCG00000001346_ENSSSCT00000094263_54_2583_3144",86,71,120,45,196,50,354,316,705,740
"ABCF2_ENSSSCG00000016441_ENSSSCT00000039929_398_2363_2366",8,20,33,19,72,33,235,245,413,446
"ABCF3_ENSSSCG00000028856_ENSSSCT00000027528_199_2326_3469",19,15,46,20,50,24,153,158,320,415
"ABCG1_ENSSSCG00000027745_ENSSSCT00000055448_107_2144_6387",9,9,7,4,26,9,32,21,87,227
"ABCG2A_ENSSSCG00000009215_ENSSSCT00000036626_915_2880_2943",1,6,21,9,29,4,12,22,57,42
"ABCG4_ENSSSCG00000015113_ENSSSCT00000016479_276_2214_3761",0,0,0,1,1,0,0,1,1,1
"ABCG5_ENSSSCG00000035912_ENSSSCT00000061014_200_2156_5180",0,0,0,1,0,0,0,0,0,0
"ABCG8_ENSSSCG00000008453_ENSSSCT00000009255_79_2137_4012",0,0,0,0,0,1,0,0,0,0
"ABHD10_ENSSSCG00000034450_ENSSSCT00000051340_17_935_2756",5,3,5,0,8,3,28,12,40,49
"ABHD11_ENSSSCG00000007715_ENSSSCT00000080982_123_564_567",4,10,6,0,14,1,18,17,24,25
"ABHD12B_ENSSSCG00000005023_ENSSSCT00000023698_0_1107_1221",0,0,0,2,1,0,0,0,0,0
"ABHD12_ENSSSCG00000040449_ENSSSCT00000030598_162_1350_1932",12,12,14,5,31,16,56,70,261,305
"ABHD13_ENSSSCG00000009541_ENSSSCT00000060481_255_1266_5668",3,7,10,2,11,8,55,25,98,132
"ABHD14A_ENSSSCG00000030229_ENSSSCT00000044844_137_956_1965",1,1,2,1,8,5,48,32,51,48
"ABHD14B_ENSSSCG00000042259_ENSSSCT00000046662_76_703_814",0,3,3,1,0,3,24,13,36,37
"ABHD16A_ENSSSCG00000034923_ENSSSCT00000047968_94_1768_2019",13,60,20,29,50,21,137,162,289,295
"ABHD16B_ENSSSCG00000035915_ENSSSCT00000047845_0_1410_1413",1,0,0,1,1,0,0,0,0,1
"ABHD17A_ENSSSCG00000013442_ENSSSCT00000014686_368_1298_1538",21,26,31,34,118,43,279,344,539,637
"ABHD17B_ENSSSCG00000021802_ENSSSCT00000026305_646_1510_2089",3,15,23,19,15,14,110,42,195,275
"ABHD18_ENSSSCG00000009074_ENSSSCT00000078515_249_1635_4321",1,6,13,6,13,6,49,11,75,91
"ABHD1_ENSSSCG00000008554_ENSSSCT00000009359_109_1324_1391",0,0,0,4,1,1,17,1,4,23
"ABHD2_ENSSSCG00000001835_ENSSSCT00000062921_193_1468_1640",24,15,21,42,20,30,197,145,491,459
"ABHD3_ENSSSCG00000028010_ENSSSCT00000061687_24_1275_1956",5,3,5,0,12,7,76,3,95,102
"ABHD4_ENSSSCG00000002051_ENSSSCT00000054768_2_1337_2498",0,1,0,0,25,1,1,4,2,17
"ABHD5_ENSSSCG00000011297_ENSSSCT00000012367_0_1008_4222",1,3,2,3,2,3,23,15,41,46
"ABHD6_ENSSSCG00000011470_ENSSSCT00000045837_129_1140_6995",5,21,6,12,15,13,104,67,169,199
"ABHD8_ENSSSCG00000031877_ENSSSCT00000043193_212_1508_2038",0,6,8,1,13,1,6,2,27,32
"ABI1_ENSSSCG00000024127_ENSSSCT00000012106_50_1493_3423",11,47,85,58,98,49,442,201,749,732
"ABI2_ENSSSCG00000034630_ENSSSCT00000043165_230_1856_6397",0,4,0,2,5,1,8,18,0,5
"ABI3BP_ENSSSCG00000011959_ENSSSCT00000070803_82_5086_6221",0,0,1,0,0,1,0,0,0,10
"ABL1_ENSSSCG00000005706_ENSSSCT00000054304_428_3866_5819",10,26,38,12,53,19,138,99,279,289
"ABL2_ENSSSCG00000024674_ENSSSCT00000054313_276_3798_7952",4,9,9,9,4,10,62,42,176,146
"ABLIM1_ENSSSCG00000010651_ENSSSCT00000011650_237_2745_3409",12,57,62,28,55,55,368,328,843,804
"ABLIM2_ENSSSCG00000008721_ENSSSCT00000107101_45_2196_3789",0,2,0,1,3,1,0,0,16,9
"ABLIM3_ENSSSCG00000014430_ENSSSCT00000015774_226_2275_4184",2,5,6,3,18,4,16,12,58,63
"ABRACL_ENSSSCG00000004145_ENSSSCT00000004581_358_595_987",7,7,20,16,51,30,276,120,475,386
"ABRAXAS1_ENSSSCG00000009234_ENSSSCT00000010113_14_1241_4239",0,3,5,2,4,3,31,0,51,37
"ABRAXAS2_ENSSSCG00000010737_ENSSSCT00000011749_1078_2401_4111",3,8,19,26,22,10,79,29,144,169
"ABRA_ENSSSCG00000031728_ENSSSCT00000041495_49_1201_3025",0,1,2,1,2,2,0,0,0,0
"ABR_ENSSSCG00000017804_ENSSSCT00000061110_786_3678_6150",88,78,58,75,60,106,692,625,1540,1661
"ABT1_ENSSSCG00000038191_ENSSSCT00000052336_61_877_2324",9,9,12,5,38,6,38,22,57,110
"ABTB1_ENSSSCG00000024827_ENSSSCT00000058290_48_1359_2398",9,20,14,7,11,19,105,131,196,359
"ABTB2_ENSSSCG00000013303_ENSSSCT00000014529_718_3793_5191",1,2,3,7,10,6,43,27,32,127
"ABTB3_ENSSSCG00000000162_ENSSSCT00000000171_590_3914_5905",16,17,54,68,59,30,201,114,621,342
"ACAA1_ENSSSCG00000011250_ENSSSCT00000012317_2615_3911_4201",13,8,5,9,29,13,99,58,189,187
"ACAA2_ENSSSCG00000004510_ENSSSCT00000053817_562_1753_2083",1,10,10,9,42,5,23,21,78,79
"ACACA_ENSSSCG00000017694_ENSSSCT00000042467_168_7212_9325",9,33,22,22,103,24,168,118,362,327
"ACACB_ENSSSCG00000061436_ENSSSCT00000095843_270_7626_8418",0,2,0,0,1,2,0,0,0,46
"ACAD10_ENSSSCG00000009836_ENSSSCT00000010780_74_3182_3827",8,13,9,7,24,8,34,42,106,143
"ACAD11_ENSSSCG00000011629_ENSSSCT00000085065_96_2436_2775",4,4,16,1,9,1,12,6,26,28
"ACAD8_ENSSSCG00000062444_ENSSSCT00000102490_37_1282_1534",3,29,13,17,45,23,196,145,276,300
"ACAD9_ENSSSCG00000023354_ENSSSCT00000023990_59_1922_6981",1,6,25,11,39,9,35,93,89,78
"ACADL_ENSSSCG00000016156_ENSSSCT00000017589_196_1486_2563",3,9,24,15,30,14,150,34,166,248
"ACADM_ENSSSCG00000003776_ENSSSCT00000061492_648_1911_2573",11,14,14,7,47,23,272,69,310,287
"ACADSB_ENSSSCG00000010723_ENSSSCT00000011734_62_1355_2417",10,4,5,17,20,8,81,29,109,98
"ACADS_ENSSSCG00000009916_ENSSSCT00000052413_38_1178_4272",9,14,20,20,59,18,130,112,259,268
"ACADVL_ENSSSCG00000017947_ENSSSCT00000068392_268_2311_2474",25,45,53,32,165,52,344,387,655,759
"ACAN_ENSSSCG00000001832_ENSSSCT00000064359_398_7700_7929",0,1,0,0,1,1,0,0,1,13
"ACAP1_ENSSSCG00000017943_ENSSSCT00000029870_199_2422_2496",51,173,155,122,95,123,914,939,1654,1714
"ACAP2_ENSSSCG00000031147_ENSSSCT00000055236_199_2635_6967",13,33,44,32,39,27,253,73,428,425
"ACAP3_ENSSSCG00000003329_ENSSSCT00000080141_122_2987_3817",3,11,20,10,11,12,73,78,160,181
"ACAT1_ENSSSCG00000026153_ENSSSCT00000028484_54_1332_1585",10,9,21,9,45,18,145,61,263,286
"ACAT2_ENSSSCG00000004049_ENSSSCT00000044125_100_1441_3662",4,5,11,5,32,8,55,64,92,78
"ACBD3_ENSSSCG00000024180_ENSSSCT00000029429_36_1620_3275",14,10,14,23,22,22,185,66,316,411
"ACBD4_ENSSSCG00000017337_ENSSSCT00000018873_1903_2815_3417",6,15,7,8,5,7,32,45,88,122
"ACBD5_ENSSSCG00000011064_ENSSSCT00000104076_329_1958_1961",2,6,7,10,22,10,106,17,162,156
"ACBD6_ENSSSCG00000015534_ENSSSCT00000016923_296_1091_1406",6,12,15,17,50,13,91,86,181,205
"ACBD7_ENSSSCG00000038184_ENSSSCT00000040198_40_304_1768",0,0,14,0,0,0,0,0,1,0
"ACCSL_ENSSSCG00000057793_ENSSSCT00000014507_0_1707_1930",1,4,4,0,1,6,11,91,33,48
"ACCS_ENSSSCG00000013282_ENSSSCT00000014506_0_1518_1628",1,0,0,1,0,0,1,1,1,1
"ACD_ENSSSCG00000029590_ENSSSCT00000027655_78_1428_1544",10,37,17,13,23,14,91,110,173,187
"ACE2_ENSSSCG00000012138_ENSSSCT00000034032_48_2463_2830",1,1,1,0,1,1,0,0,0,1
"ACER1_ENSSSCG00000023969_ENSSSCT00000047259_199_1024_3268",0,0,0,0,0,0,1,0,5,1
"ACER2_ENSSSCG00000034213_ENSSSCT00000060646_104_923_4576",3,17,8,5,6,9,153,79,52,9
"ACER3_ENSSSCG00000032723_ENSSSCT00000079483_42_864_6762",4,0,4,3,7,4,48,18,57,32
"ACE_ENSSSCG00000017296_ENSSSCT00000018828_12_3939_4040",0,0,0,1,1,0,0,0,1,0
"ACHE_ENSSSCG00000030303_ENSSSCT00000090230_0_2295_3299",0,1,0,0,84,0,1,0,1,1
"ACKR2_ENSSSCG00000031154_ENSSSCT00000041638_329_1484_6731",0,0,21,0,0,0,1,0,0,1
"ACKR3_ENSSSCG00000016322_ENSSSCT00000017775_112_1198_2032",2,3,5,1,4,4,15,21,33,73
"ACKR4_ENSSSCG00000011630_ENSSSCT00000012727_356_1406_1842",0,0,3,0,0,3,57,0,0,14
"ACLY_ENSSSCG00000017421_ENSSSCT00000018965_132_3522_4402",39,56,104,62,226,81,597,531,1218,1158
"ACO1_ENSSSCG00000023807_ENSSSCT00000050582_141_2808_3508",10,8,12,7,90,9,56,33,131,95
"ACO2_ENSSSCG00000000064_ENSSSCT00000105482_29_2369_8328",76,46,105,64,247,92,623,640,1286,1251
"ACOT11_ENSSSCG00000037559_ENSSSCT00000050621_111_1860_5809",6,6,5,3,25,1,2,8,13,43
"ACOT12_ENSSSCG00000036095_ENSSSCT00000063532_119_1796_4759",0,0,0,0,0,0,0,0,0,0
"ACOT13_ENSSSCG00000036411_ENSSSCT00000051683_136_559_5252",3,2,4,2,1,5,47,27,72,73
"ACOT6_ENSSSCG00000002348_ENSSSCT00000071335_9_1266_3751",0,0,0,0,111,0,1,0,1,1
"ACOT7_ENSSSCG00000003377_ENSSSCT00000056129_8_1163_1471",7,13,17,33,36,18,153,157,196,243
"ACOT8_ENSSSCG00000007426_ENSSSCT00000025270_126_1077_1203",4,10,8,8,21,7,62,47,93,99
"ACOT9_ENSSSCG00000012172_ENSSSCT00000101133_0_1353_2380",6,6,7,6,29,13,96,74,173,186
"ACOX1_ENSSSCG00000017198_ENSSSCT00000100542_86_2069_4056",18,20,35,17,79,26,194,112,389,448
"ACOX2_ENSSSCG00000011477_ENSSSCT00000058844_658_2701_2973",0,0,0,0,160,0,1,1,1,1
"ACOX3_ENSSSCG00000008724_ENSSSCT00000086938_297_2481_3091",13,24,9,15,12,11,67,42,154,206
"ACOXL_ENSSSCG00000037846_ENSSSCT00000057327_117_1857_2861",0,2,2,0,2,2,23,14,18,13
"ACP1_ENSSSCG00000008659_ENSSSCT00000009475_12_702_5838",9,15,14,6,37,20,186,130,266,250
"ACP2_ENSSSCG00000013242_ENSSSCT00000097655_40_1339_1342",6,5,10,1,12,5,11,18,78,96
"ACP3_ENSSSCG00000011627_ENSSSCT00000012724_48_1287_2291",0,0,0,1,1,0,1,0,1,1
"ACP4_ENSSSCG00000024736_ENSSSCT00000032085_275_1550_1659",0,1,1,1,214,0,1,1,1,1
"ACP5_ENSSSCG00000032282_ENSSSCT00000014867_0_1020_1367",21,45,15,29,24,35,233,251,413,600
"ACP6_ENSSSCG00000006697_ENSSSCT00000007336_460_1744_2642",7,14,14,6,30,11,101,71,153,150
"ACP7_ENSSSCG00000002971_ENSSSCT00000077807_199_1510_2514",0,2,0,0,0,0,0,0,0,0
"ACRBP_ENSSSCG00000000700_ENSSSCT00000092092_199_1816_2019",6,7,8,3,6,5,24,23,71,97
"ACRV1_ENSSSCG00000015216_ENSSSCT00000016582_41_857_1117",1,0,0,1,0,0,0,0,0,0
"ACR_ENSSSCG00000021265_ENSSSCT00000060173_48_1290_1401",0,0,0,0,0,1,0,0,0,0
"ACSBG1_ENSSSCG00000001760_ENSSSCT00000001967_0_2127_2130",1,1,0,1,2,0,0,0,0,0
"ACSF2_ENSSSCG00000017566_ENSSSCT00000019121_162_2040_2230",13,56,80,35,68,61,494,403,900,770
"ACSF3_ENSSSCG00000023866_ENSSSCT00000065079_199_2335_4693",8,12,26,6,15,22,130,180,284,270
"ACSL1_ENSSSCG00000015784_ENSSSCT00000058100_343_2656_4114",46,28,20,30,42,49,293,87,680,1046
"ACSL3_ENSSSCG00000016223_ENSSSCT00000101017_93_2280_2283",3,22,13,10,19,6,45,1,84,113
"ACSL4_ENSSSCG00000012583_ENSSSCT00000051623_211_2344_5071",55,37,64,28,126,59,590,158,948,821
"ACSL5_ENSSSCG00000031789_ENSSSCT00000026254_451_2500_2782",20,73,34,60,146,62,551,356,924,828
"ACSL6_ENSSSCG00000014272_ENSSSCT00000076510_105_2271_5758",57,67,0,98,0,0,1,0,1,1
"ACSM4_ENSSSCG00000030033_ENSSSCT00000027442_169_1909_2243",1,0,0,0,0,0,0,0,0,0
"ACSM5_ENSSSCG00000026453_ENSSSCT00000027749_143_1880_3293",0,1,1,30,1,0,1,0,0,0
"ACSS1_ENSSSCG00000007133_ENSSSCT00000044534_27_2136_5544",33,54,44,55,28,42,324,347,531,581
"ACSS2_ENSSSCG00000007286_ENSSSCT00000048008_192_2334_3081",19,21,23,8,46,23,183,124,313,357
"ACSS3_ENSSSCG00000000939_ENSSSCT00000059893_190_2167_4493",3,3,9,1,4,4,12,0,62,84
"ACTA1_ENSSSCG00000010190_ENSSSCT00000040776_116_1247_1488",0,0,0,1,0,1,0,15,0,6
"ACTA2_ENSSSCG00000010447_ENSSSCT00000049256_0_1116_1682",9,4,5,4,0,5,72,27,17,16
"ACTB_ENSSSCG00000007585_ENSSSCT00000042531_90_1215_5270",2257,4600,3030,1430,3771,2868,21136,22147,36030,38870
"ACTC1_ENSSSCG00000004803_ENSSSCT00000005302_94_1225_1399",0,0,0,0,0,0,1,0,0,0
"ACTG1_ENSSSCG00000028355_ENSSSCT00000025260_133_1258_1993",1137,1613,798,991,3821,1491,13299,12231,16938,17951
"ACTG2_ENSSSCG00000008294_ENSSSCT00000064546_0_1251_1916",2,0,0,2,1,2,11,15,14,4
