name,H2,H3,H6,H7,H8,W1,W10,W6,W7,W9
A1CF_ENSSSCG00000010431_ENSSSCT00000062282_237_2022_6937,0,0,0,0,0,1,0,0,0,0
A2ML1_ENSSSCG00000000664_ENSSSCT00000000720_0_4497_4647,0,3,2,0,3,0,0,0,0,1
A2M_ENSSSCG00000000660_ENSSSCT00000073778_0_4332_5181,31,16,25,9,9,13,10,70,318,318
A4GALT_ENSSSCG00000026962_ENSSSCT00000061122_211_1288_2712,6,7,5,11,18,6,48,75,196,191
A4GNT_ENSSSCG00000022473_ENSSSCT00000025162_97_1117_3147,0,1,0,0,0,0,0,0,0,0
AAAS_ENSSSCG00000000268_ENSSSCT00000000287_134_1772_2023,4,15,12,13,32,14,126,109,255,269
AACS_ENSSSCG00000009755_ENSSSCT00000079199_172_2221_3306,3,11,12,15,23,10,101,83,183,159
AADAC_ENSSSCG00000031367_ENSSSCT00000053002_48_1245_4363,0,0,0,1,0,1,0,0,0,0
AAGAB_ENSSSCG00000004951_ENSSSCT00000005463_37_1021_2718,6,5,6,5,7,4,24,19,118,108
AAK1_ENSSSCG00000008337_ENSSSCT00000072633_416_4364_6733,12,15,24,20,24,19,105,243,151,195
AAMDC_ENSSSCG00000037251_ENSSSCT00000066013_84_450_481,0,2,4,2,4,4,39,8,68,63
AAMP_ENSSSCG00000016189_ENSSSCT00000107092_166_1468_1879,27,22,35,36,60,31,211,224,447,534
AANAT_ENSSSCG00000017176_ENSSSCT00000060994_0_825_1051,0,0,0,0,0,0,0,0,1,0
AAR2_ENSSSCG00000007315_ENSSSCT00000076723_305_1511_1971,4,7,5,4,15,6,68,83,175,235
AARD_ENSSSCG00000006013_ENSSSCT00000006599_67_526_1490,0,0,0,0,0,0,0,0,0,0
AARS1_ENSSSCG00000002723_ENSSSCT00000003017_276_3177_3545,41,49,57,62,129,66,458,440,928,1024
AARS2_ENSSSCG00000001706_ENSSSCT00000041366_82_3127_3130,10,18,10,16,28,10,85,42,155,173
AARSD1_ENSSSCG00000037979_ENSSSCT00000045784_107_1343_1539,16,24,18,16,52,16,198,188,290,316
