,logFC,AveExpr,t,P.Value,adj.P.Val,B,tag
ENSSSCT00000054321,-3.223387997,5.644371192,-15.83989872,1.27E-10,1.83E-06,14.60266347,down
ENSSSCT00000105474,-3.660821872,5.822046956,-15.30420742,2.05E-10,1.83E-06,14.20849952,down
ENSSSCT00000063237,-3.651592834,6.184892485,-14.51396717,4.25E-10,2.54E-06,13.34173616,down
ENSSSCT00000057991,-3.104819591,5.544807838,-13.7173328,9.22E-10,2.77E-06,12.75802381,down
ENSSSCT00000000980,-3.117852598,5.539927661,-13.6832371,9.54E-10,2.77E-06,12.72557722,down
ENSSSCT00000000199,-2.829096883,5.267116513,-13.66895755,9.68E-10,2.77E-06,12.70332311,down
ENSSSCT00000000080,-2.800022659,5.242419459,-13.557268,1.08E-09,2.77E-06,12.59382359,down
ENSSSCT00000082451,-3.166447792,5.920035918,-13.09936483,1.73E-09,3.87E-06,12.04799371,down
ENSSSCT00000072139,-3.444425499,6.105143557,-12.64332991,2.79E-09,4.94E-06,11.62516324,down
ENSSSCT00000027083,-3.478835864,6.008154786,-12.59433175,2.94E-09,4.94E-06,11.60953498,down
ENSSSCT00000002127,-3.045312425,5.509448485,-12.48966018,3.29E-09,4.94E-06,11.54672382,down
ENSSSCT00000099885,-2.6661245,5.250266371,-12.48405453,3.31E-09,4.94E-06,11.51963071,down
ENSSSCT00000082165,-2.899455498,5.31639005,-12.06521114,5.24E-09,6.72E-06,11.09664268,down
ENSSSCT00000061956,-3.156863747,5.922431941,-11.99236267,5.68E-09,6.72E-06,10.94724271,down
ENSSSCT00000004744,-2.574529071,5.112331484,-11.93215284,6.07E-09,6.72E-06,10.93508556,down
ENSSSCT00000024140,-3.079802833,5.74742337,-11.91886722,6.16E-09,6.72E-06,10.90628808,down
ENSSSCT00000009811,3.093604586,5.072937036,11.8888637,6.38E-09,6.72E-06,10.89073924,up
ENSSSCT00000045023,-3.36938219,5.701598039,-11.74199684,7.53E-09,7.49E-06,10.75221868,down
ENSSSCT00000073484,2.791658003,4.894834672,11.64750924,8.38E-09,7.90E-06,10.58250846,up
ENSSSCT00000018392,-3.239442704,6.161777347,-11.46125892,1.04E-08,9.30E-06,10.33120509,down
ENSSSCT00000052327,-3.104090511,5.875423498,-11.35517319,1.17E-08,9.64E-06,10.27966715,down
ENSSSCT00000056535,-3.086385423,5.917539937,-11.34295236,1.19E-08,9.64E-06,10.24652076,down
ENSSSCT00000042873,-2.473435034,5.254594252,-11.31057955,1.24E-08,9.64E-06,10.2435728,down
ENSSSCT00000046951,-3.162191417,6.084714891,-11.26667427,1.30E-08,9.72E-06,10.12644505,down
ENSSSCT00000044614,-3.239385146,6.001048068,-11.18950098,1.43E-08,1.02E-05,10.07192449,down
ENSSSCT00000023401,-2.854258759,5.386845179,-11.07057694,1.64E-08,1.13E-05,9.985772134,down
ENSSSCT00000029807,-3.126251017,6.204994696,-10.93638196,1.93E-08,1.28E-05,9.715863227,down
ENSSSCT00000074703,-2.783717684,5.496713848,-10.77878542,2.33E-08,1.39E-05,9.639666124,down
ENSSSCT00000008201,-3.383631886,6.230037481,-10.83300523,2.18E-08,1.39E-05,9.634890105,down
ENSSSCT00000005895,-3.081035015,6.127059891,-10.80284709,2.27E-08,1.39E-05,9.577122156,down
ENSSSCT00000060119,-3.012706442,5.991163859,-10.6960464,2.58E-08,1.49E-05,9.492427575,down
ENSSSCT00000036280,2.880147771,4.97083878,10.60512159,2.89E-08,1.52E-05,9.422383608,up
ENSSSCT00000050371,-3.50121112,6.212386593,-10.61501211,2.85E-08,1.52E-05,9.410159258,down
ENSSSCT00000065717,-3.073698104,5.970803759,-10.59240865,2.93E-08,1.52E-05,9.377564017,down
ENSSSCT00000105497,-3.143049439,6.02167633,-10.58322857,2.97E-08,1.52E-05,9.365908141,down
ENSSSCT00000056102,-2.748321876,5.671235299,-10.48381378,3.35E-08,1.67E-05,9.264500889,down
ENSSSCT00000004015,-2.947955209,5.60569541,-10.46057028,3.45E-08,1.67E-05,9.254465974,down
ENSSSCT00000100854,-2.656380401,5.227939304,-10.40476221,3.70E-08,1.70E-05,9.190676916,down
ENSSSCT00000041229,-3.073384267,5.747173165,-10.38715115,3.78E-08,1.70E-05,9.166449367,down
ENSSSCT00000058660,-2.841626473,5.904311776,-10.38594169,3.79E-08,1.70E-05,9.107355103,down
ENSSSCT00000019464,-3.021124644,6.033688652,-10.3417275,4.01E-08,1.75E-05,9.051118194,down
ENSSSCT00000048630,-3.230205995,6.270372872,-10.16297718,5.02E-08,2.14E-05,8.828007351,down
ENSSSCT00000095433,-3.257574746,6.261411116,-10.03681267,5.90E-08,2.46E-05,8.677406882,down
ENSSSCT00000025350,-3.260931419,6.309239327,-10.01359735,6.08E-08,2.48E-05,8.64672934,down
ENSSSCT00000086290,-3.118028517,6.090406557,-9.859281699,7.43E-08,2.96E-05,8.478729441,down
ENSSSCT00000084729,-2.958314569,5.743086677,-9.815109772,7.87E-08,3.06E-05,8.449538594,down
ENSSSCT00000045895,-2.881459276,5.806404611,-9.770496991,8.34E-08,3.18E-05,8.380624498,down
ENSSSCT00000014040,3.032262842,5.072000529,9.691444443,9.25E-08,3.43E-05,8.29155025,up
ENSSSCT00000085238,-2.66013199,5.201802795,-9.681935942,9.37E-08,3.43E-05,8.278360654,down
ENSSSCT00000010628,-2.648861639,5.675136466,-9.644998082,9.84E-08,3.53E-05,8.221095162,down
ENSSSCT00000082327,-2.990303705,5.86517771,-9.598338548,1.05E-07,3.68E-05,8.167973904,down
ENSSSCT00000003177,-2.947796998,5.883593749,-9.536042594,1.14E-07,3.87E-05,8.083158878,down
ENSSSCT00000089687,-3.098187444,6.132722826,-9.531085685,1.15E-07,3.87E-05,8.061425561,down
ENSSSCT00000003077,-2.864174733,5.487416549,-9.498499843,1.20E-07,3.94E-05,8.035171994,down
ENSSSCT00000043972,-3.018768809,6.135582836,-9.488355305,1.21E-07,3.94E-05,8.000624535,down
ENSSSCT00000011532,-2.895796797,5.941929685,-9.476891739,1.23E-07,3.94E-05,7.995864151,down
ENSSSCT00000005965,-3.203405769,6.068461774,-9.451988859,1.27E-07,4.00E-05,7.970538944,down
ENSSSCT00000079652,-3.355535683,5.857969833,-9.430938112,1.31E-07,4.05E-05,7.951403389,down
ENSSSCT00000053349,-3.332494335,6.04972629,-9.293971059,1.58E-07,4.79E-05,7.768589858,down
ENSSSCT00000057037,-2.901316534,5.627645035,-9.212796439,1.76E-07,5.26E-05,7.660401757,down
ENSSSCT00000045060,-2.897310443,5.992812728,-9.163370464,1.89E-07,5.43E-05,7.581519261,down
ENSSSCT00000052476,-2.998174426,6.10165609,-9.157397898,1.90E-07,5.43E-05,7.568928697,down
ENSSSCT00000046071,-3.096295238,6.097656083,-9.131999065,1.97E-07,5.43E-05,7.544539173,down
ENSSSCT00000042461,-2.842985417,6.247774699,-9.149358343,1.92E-07,5.43E-05,7.535565964,down
ENSSSCT00000085741,-2.866910155,6.284124482,-9.134828135,1.96E-07,5.43E-05,7.516952523,down
ENSSSCT00000031881,-2.939894701,5.756507337,-9.097022377,2.07E-07,5.56E-05,7.505327786,down
ENSSSCT00000039019,-2.651103843,5.817475425,-9.092623581,2.08E-07,5.56E-05,7.491628723,down
ENSSSCT00000003577,-2.784501286,6.129071978,-9.038690704,2.24E-07,5.90E-05,7.398579302,down
ENSSSCT00000026102,-2.79027664,5.956112968,-8.999831416,2.36E-07,6.12E-05,7.36448675,down
ENSSSCT00000069789,-2.756817208,5.745946811,-8.992274436,2.39E-07,6.12E-05,7.362882528,down
ENSSSCT00000004969,-3.126510755,6.105534235,-8.979650878,2.43E-07,6.12E-05,7.340514321,down
ENSSSCT00000085689,-3.180697387,5.80294483,-8.964984689,2.48E-07,6.12E-05,7.322726155,down
ENSSSCT00000051709,-3.267453478,6.290772399,-8.962102371,2.49E-07,6.12E-05,7.308189279,down
ENSSSCT00000000521,-2.839035695,5.975763235,-8.884421982,2.78E-07,6.73E-05,7.209399444,down
ENSSSCT00000004569,-3.011247641,5.929650027,-8.810338288,3.08E-07,7.36E-05,7.114078562,down
ENSSSCT00000043355,-3.110636448,6.163067042,-8.801182272,3.13E-07,7.36E-05,7.094944576,down
ENSSSCT00000053669,-3.318658044,6.251780444,-8.792277288,3.16E-07,7.36E-05,7.08543413,down
ENSSSCT00000011057,-2.326805115,5.016916352,-8.776079499,3.24E-07,7.44E-05,7.063073587,down
ENSSSCT00000098287,-2.966987245,6.271171576,-8.74196215,3.40E-07,7.71E-05,7.0011609,down
ENSSSCT00000074611,-2.797317997,5.676864352,-8.691150557,3.65E-07,8.17E-05,6.947360903,down
ENSSSCT00000029137,-2.923246474,5.917086071,-8.680887467,3.71E-07,8.17E-05,6.934519425,down
ENSSSCT00000070538,-3.15465422,6.017638197,-8.674922545,3.74E-07,8.17E-05,6.925711369,down
ENSSSCT00000008810,-3.088288714,6.346112129,-8.659089186,3.83E-07,8.26E-05,6.888408948,down
ENSSSCT00000061012,-3.014401246,6.252750191,-8.64903203,3.88E-07,8.28E-05,6.877311377,down
ENSSSCT00000042323,-2.630193747,5.141296918,-8.587467414,4.24E-07,8.94E-05,6.786252077,down
ENSSSCT00000093652,-3.107786003,6.225234471,-8.550491437,4.47E-07,9.32E-05,6.746023707,down
ENSSSCT00000055233,-2.757494099,5.819663246,-8.515779223,4.70E-07,9.68E-05,6.702826813,down
ENSSSCT00000060556,-2.95974443,6.211636746,-8.489960265,4.88E-07,9.94E-05,6.657485868,down
ENSSSCT00000101034,-3.05655466,6.072806004,-8.460316448,5.10E-07,0.000101939,6.622286677,down
ENSSSCT00000050613,-2.879181845,6.060614376,-8.457113045,5.12E-07,0.000101939,6.616639484,down
ENSSSCT00000031251,-3.328189953,6.567195249,-8.39554707,5.60E-07,0.000110294,6.520905104,down
ENSSSCT00000023724,-2.480796105,5.835114099,-8.385011249,5.69E-07,0.00011079,6.511292565,down
ENSSSCT00000074991,-3.55042345,6.236061274,-8.345912023,6.02E-07,0.000116065,6.45917566,down
ENSSSCT00000073540,-2.371677021,4.987660194,-8.30919602,6.36E-07,0.000121202,6.396856589,down
ENSSSCT00000009951,-3.000627572,6.350851734,-8.245804503,6.98E-07,0.000131694,6.310107074,down
ENSSSCT00000106133,-3.011212792,6.137512581,-8.195050058,7.53E-07,0.000140515,6.243937139,down
ENSSSCT00000006894,-2.448037629,5.755335478,-8.15028431,8.05E-07,0.000148654,6.17913629,down
ENSSSCT00000064863,-3.187311462,6.103398048,-8.139413087,8.18E-07,0.000149544,6.161768698,down
ENSSSCT00000010862,-3.024211267,6.381786522,-8.130357411,8.29E-07,0.00015005,6.14496851,down
ENSSSCT00000003260,-2.86483005,6.094401642,-8.099751909,8.68E-07,0.000152461,6.103564863,down
ENSSSCT00000058048,-3.03376003,5.841559647,-8.10546485,8.61E-07,0.000152461,6.102356095,down
ENSSSCT00000057571,-2.484295635,5.673093964,-8.091926621,8.78E-07,0.000152762,6.094317277,down
ENSSSCT00000080517,-2.852655283,5.290306096,-8.118894649,8.43E-07,0.000151117,6.086674716,down
ENSSSCT00000058781,-2.760972473,5.624398251,-8.069209247,9.09E-07,0.00015654,6.046472762,down
ENSSSCT00000058881,-2.949613106,6.139924004,-8.00087175,1.01E-06,0.000171858,5.961770231,down
ENSSSCT00000013441,2.244693748,4.626169022,7.978805055,1.04E-06,0.000176011,5.926893368,up
ENSSSCT00000059031,-2.741877957,5.537288573,-7.970148225,1.06E-06,0.000176666,5.889521357,down
ENSSSCT00000040616,-2.713152558,6.008802025,-7.932957232,1.12E-06,0.000185185,5.861808849,down
ENSSSCT00000096273,-2.574929919,5.968132057,-7.915209826,1.15E-06,0.000188503,5.83507343,down
ENSSSCT00000018425,3.06155449,4.974790506,7.789206324,1.39E-06,0.000226471,5.617415113,up
ENSSSCT00000026604,-2.304199252,5.771475758,-7.762059248,1.45E-06,0.000233325,5.608317982,down
ENSSSCT00000063015,2.310529696,4.660486987,7.758119848,1.46E-06,0.000233325,5.602431497,up
ENSSSCT00000004401,-2.67234311,5.865858552,-7.74144677,1.50E-06,0.000237282,5.575032446,down
ENSSSCT00000027128,-2.670520758,5.621622756,-7.70578838,1.58E-06,0.000248522,5.508278901,down
ENSSSCT00000035166,-2.60923493,5.914446984,-7.657593121,1.70E-06,0.000265474,5.451428382,down
ENSSSCT00000068881,-2.759263776,6.542135053,-7.641461803,1.75E-06,0.000269868,5.427335159,down
ENSSSCT00000065887,2.444474704,4.684798569,7.619390439,1.81E-06,0.000274568,5.393300647,up
ENSSSCT00000013528,-2.28939133,4.984743323,-7.625113039,1.79E-06,0.000274457,5.36952546,down
ENSSSCT00000062831,-2.503318372,5.975565944,-7.504099745,2.17E-06,0.000326122,5.2193622,down
