,H2,H3,H6,H7,H8,W1,W10,W6,W7,W9
ENSSSCT00000062282,0,0,0,0,0,0.750472585,0,0,0,0
ENSSSCT00000000720,0,7.752401009,5.882686705,0,2.381198551,0,0,0,0,0.012284422
ENSSSCT00000073778,13.85153187,3.697261168,1.874339614,1.019297545,0.70857988,0.741224019,0.08283352,0.443969171,2.229022571,5.610009498
ENSSSCT00000061122,5.317415246,3.695680236,3.129323026,4.55749294,14.91085822,3.247017713,2.062349667,7.934530714,6.28173448,13.27771652
ENSSSCT00000025162,0,0.691490273,0,0,0,0,0,0,0,0
ENSSSCT00000000287,5.178106284,5.705908819,17.57678612,10.05957737,11.69123217,10.7396296,5.90366221,8.818160605,5.001404299,13.16315873
ENSSSCT00000079199,2.350628814,2.827798252,5.828462216,4.534220414,41.96917195,18.82543728,4.389450377,2.822765622,5.203183121,18.27128416
ENSSSCT00000053002,0,0,0,1.741329964,0,2.604211044,0,0,0,0
ENSSSCT00000005463,7.037745882,5.016808063,6.662284197,3.869626686,1.611045223,2.749516334,0.428582111,2.035978824,10.26633567,3.685215595
ENSSSCT00000072633,15.9450763,3.318923041,3.997328484,5.778550015,1.340423572,5.730030895,4.693549549,3.165674706,2.466852074,2.943443812
ENSSSCT00000066013,0,3.413037414,2.564328685,4.823853454,3.684416156,18.09817943,4.812307245,0.601597427,20.56790124,8.460285339
ENSSSCT00000107092,22.69541261,20.60778708,10.78665677,32.98106944,17.16460106,12.91565423,39.51865895,16.03923687,26.9843498,33.76210159
ENSSSCT00000060994,0,0,0,0,0,0,0,0,0.060046453,0
ENSSSCT00000076723,4.336054594,8.073108094,2.508200524,3.234845945,23.72436726,3.511303798,3.105870379,2.36509134,2.687444746,6.379198675
ENSSSCT00000003017,10.44867418,26.96184058,74.95868052,14.90065828,32.46737224,10.89028152,14.11418772,33.37284923,9.508083484,68.78124876
ENSSSCT00000041366,9.211423902,11.8864502,7.459204862,5.460374223,9.149318153,5.574607141,5.884697368,6.238441754,5.805355612,7.057305072
ENSSSCT00000045784,27.50360932,14.24209523,24.25872164,3.47237998,35.64060702,11.66888394,11.34251199,15.69707989,4.508048868,14.80363441
ENSSSCT00000060544,2.917891241,2.770028551,15.8342352,3.470510286,11.74625976,1.461792423,1.075626953,0,4.487692113,3.065861455
ENSSSCT00000053182,4.652050525,2.483121999,2.575381006,3.596223038,3.925392579,2.715335491,1.493791341,2.103355298,6.060073534,3.9720928
ENSSSCT00000047587,0.345293569,0,0.405153289,0,1.294535956,0.410511785,0,0,0.060467255,0.023889388
ENSSSCT00000019257,7.460853381,82.38218398,54.45983947,14.74511755,8.844989311,21.23172778,5.182130696,5.442345419,8.91496154,10.18014089
ENSSSCT00000023391,0,0.888624134,0,0,0.208173027,0,0,0,0,0
ENSSSCT00000039445,0,27.39455639,6.222377311,0,96.90093537,0,0,0,0.039927269,0.301473656
ENSSSCT00000042475,0,0.192332385,0.113489274,0,0.123084426,0.121248188,0,0,0,0
ENSSSCT00000058276,0.218005817,1.375966816,1.342961411,0.377221824,1.028175281,0.235853629,0.03504778,0.326465152,1.504776387,1.26293054
ENSSSCT00000005966,4.797778666,1.93877034,1.617245527,4.622927865,4.343513471,8.098276426,0.105881927,0,4.429847247,13.82106051
ENSSSCT00000092858,12.60237837,15.79262674,17.54944809,6.064698598,6.330086222,10.02998457,3.022291351,5.034378775,7.007223995,5.4059497
ENSSSCT00000038707,4.830285669,13.02993409,22.37965115,5.300787924,3.080805662,4.132947548,0.568890663,1.611267863,4.460360098,2.618807554
ENSSSCT00000007545,0.153999435,0.106649297,0.182738778,0,0,0.356286449,0,0,0,0.031941027
