gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tag
HNRNPL_ENSSSCG00000035570_ENSSSCT00000061924_21_1773_1890,267.7443519,0.187264341,0.400187943,0.467940989,0.639826791,0.843955783,ns
TNS1_ENSSSCG00000027669_ENSSSCT00000076370_199_5605_7316,8.080526104,-0.107889437,1.11568382,-0.09670252,0.922962639,NA,ns
VDAC1_ENSSSCG00000014296_ENSSSCT00000049019_0_906_1729,17.96028722,0.215293401,0.765125903,0.281382973,0.778416677,0.912497095,ns
ST3GAL6_ENSSSCG00000034493_ENSSSCT00000058613_303_1404_4649,2.946148171,0.200130732,1.825359931,0.109639052,0.912695638,NA,ns
ITGAL_ENSSSCG00000007797_ENSSSCT00000077776_0_3681_5857,1023.380053,1.672255876,0.458390822,3.648100696,0.000264186,0.011525003,up
ACAD11_ENSSSCG00000011629_ENSSSCT00000085065_96_2436_2775,6.548752199,-0.246929001,1.20052829,-0.205683617,0.837038057,NA,ns
ERCC6L_ENSSSCG00000021834_ENSSSCT00000023457_94_3835_4227,8.399691021,-0.472836205,1.083304761,-0.436475701,0.662491626,NA,ns
COMMD8_ENSSSCG00000033373_ENSSSCT00000040940_12_657_1661,4.350849356,-2.692527085,1.848395012,-1.456683808,0.145203681,NA,ns
DHCR24_ENSSSCG00000027525_ENSSSCT00000027336_137_1541_4194,41.48715125,1.773558271,0.602126309,2.945492075,0.003224414,0.056824354,ns
ZNHIT1_ENSSSCG00000033982_ENSSSCT00000063901_786_1248_1401,4.200060829,0.659979965,1.499564401,0.440114452,0.659854215,NA,ns
EEF1B2_ENSSSCG00000016128_ENSSSCT00000072840_0_801_845,96.39199501,-1.524029903,0.519060328,-2.936132508,0.003323323,0.058013448,ns
ENSSSCT00000048670_ENSSSCG00000038249_ENSSSCT00000048670_205_1636_2388,8.653628622,1.010207791,1.03739398,0.973793766,0.330158949,NA,ns
PCNA_ENSSSCG00000056538_ENSSSCT00000100030_0_816_2005,99.4799661,-0.050493851,0.472543313,-0.106855499,0.914903618,0.966969951,ns
THRAP3_ENSSSCG00000029954_ENSSSCT00000031573_199_3073_4447,277.3767271,-0.320867996,0.401658788,-0.798857152,0.424373246,0.718160606,ns
PIR_ENSSSCG00000012136_ENSSSCT00000034866_335_1208_1407,4.720787162,0.521752731,1.355410527,0.38494074,0.700281321,NA,ns
DCP1A_ENSSSCG00000022616_ENSSSCT00000082994_108_1815_1818,19.68736389,-0.208395378,0.749640024,-0.277993933,0.781017016,0.91257325,ns
RBM22_ENSSSCG00000023231_ENSSSCT00000022932_0_1677_2675,51.08302811,-0.127688284,0.565102068,-0.225956144,0.82123553,0.929848488,ns
KDELR1_ENSSSCG00000003132_ENSSSCT00000003473_191_827_1994,17.20455774,0.541744327,0.773256173,0.70060136,0.483551829,0.750971623,ns
PRMT1_ENSSSCG00000003189_ENSSSCT00000063193_41_1190_3564,75.48863745,0.34046579,0.481348086,0.707317218,0.479369368,0.748475459,ns
TMED9_ENSSSCG00000014036_ENSSSCT00000015332_18_723_1222,91.74987786,0.562375067,0.532375866,1.056349664,0.290808494,0.606990942,ns
RPP30_ENSSSCG00000010460_ENSSSCT00000081328_61_844_2620,3.064962204,-2.126381351,1.997344023,-1.064604458,0.287054962,NA,ns
ADIPOR2_ENSSSCG00000000757_ENSSSCT00000000821_465_1623_3927,9.94660318,-0.461330823,1.032548558,-0.446788502,0.655027774,NA,ns
PIGC_ENSSSCG00000015486_ENSSSCT00000073401_475_1366_1652,4.83375822,0.669546473,1.333802847,0.501983089,0.615679417,NA,ns
LYL1_ENSSSCG00000024549_ENSSSCT00000029638_0_834_1477,13.27516859,1.296852371,0.852534658,1.52117261,0.128216527,0.423230658,ns
PAN2_ENSSSCG00000000393_ENSSSCT00000038548_382_3976_4593,44.29382043,-0.419750589,0.569468677,-0.73709162,0.461066635,0.739172742,ns
SELENOI_ENSSSCG00000030643_ENSSSCT00000023702_80_1271_5403,7.518341097,-0.334592585,1.188488664,-0.281527788,0.778305618,NA,ns
ANAPC2_ENSSSCG00000032828_ENSSSCT00000044999_28_2674_2716,51.59927912,1.212037443,0.52896123,2.291354024,0.021942946,0.177652294,ns
VPS39_ENSSSCG00000004731_ENSSSCT00000051894_116_2810_4943,67.56116806,0.441932112,0.501439736,0.881326468,0.378141144,0.684777093,ns
FOXI3_ENSSSCG00000036354_ENSSSCT00000063221_143_1475_1478,835.7930412,5.766444546,1.326253594,4.347920017,1.37E-05,0.001309685,up
UNC13D_ENSSSCG00000017200_ENSSSCT00000018725_465_3735_4233,106.4132602,0.363249882,0.466807455,0.778157844,0.436475966,0.726028606,ns
TBC1D19_ENSSSCG00000008761_ENSSSCT00000009586_176_1751_3118,2.214395178,-1.207212804,2.16305068,-0.558106574,0.576771612,NA,ns
CCL14_ENSSSCG00000034722_ENSSSCT00000041540_72_369_771,4.287028955,0.784613149,1.611720657,0.486817083,0.626387963,NA,ns
SRP14_ENSSSCG00000004785_ENSSSCT00000072740_66_405_408,5.091708726,-0.521941997,1.450893141,-0.359738414,0.719042763,NA,ns
ANKRD27_ENSSSCG00000002859_ENSSSCT00000003160_118_3367_4471,62.28011944,-0.999756421,0.57601676,-1.735637728,0.082627911,0.343019515,ns
TRMT5_ENSSSCG00000024529_ENSSSCT00000058749_49_1561_6690,4.5357106,-1.437042957,1.557059679,-0.922920923,0.356048416,NA,ns
COL19A1_ENSSSCG00000044472_ENSSSCT00000074211_71_3467_8639,17.00766664,0.854882062,0.79285568,1.078231617,0.280930406,0.59643844,ns
FOSL2_ENSSSCG00000032527_ENSSSCT00000049214_218_1199_2470,42.54819319,1.200647848,0.61824676,1.942020446,0.052134625,0.275576941,ns
PLVAP_ENSSSCG00000037025_ENSSSCT00000064289_436_1759_2431,94.28243478,0.528388224,0.47483014,1.112794196,0.265796829,0.581468116,ns
TBK1_ENSSSCG00000031103_ENSSSCT00000066145_104_2243_5730,39.29533239,-2.404474184,0.741298609,-3.243597323,0.001180305,0.030629963,down
ENSSSCT00000002214_ENSSSCG00000001979_ENSSSCT00000002214_25_736_891,2.348906689,0.165962009,1.907297671,0.087014215,0.930660213,NA,ns
PYCR1_ENSSSCG00000034723_ENSSSCT00000067455_240_1395_2077,4.148088863,0.035079865,1.559903775,0.02248848,0.982058301,NA,ns
SLC24A4_ENSSSCG00000002450_ENSSSCT00000002720_672_2529_9262,10.51667655,0.54618548,0.976074016,0.559573834,0.575770156,NA,ns
CPT1B_ENSSSCG00000022364_ENSSSCT00000025524_191_2393_2639,10.82508644,-0.541364035,1.056116989,-0.512598548,0.608232169,NA,ns
ARPC5_ENSSSCG00000015560_ENSSSCT00000016950_199_661_1961,103.0864917,0.919479323,0.450289859,2.041972087,0.0411543,0.244815592,ns
TRAPPC3_ENSSSCG00000037213_ENSSSCT00000047189_156_690_1313,5.253596186,-0.197652536,1.324396663,-0.149239682,0.881364509,NA,ns
CCND2_ENSSSCG00000038694_ENSSSCT00000044116_237_1101_3003,96.26589442,0.022405508,0.470646451,0.047605816,0.962030397,0.987861279,ns
IDUA_ENSSSCG00000032262_ENSSSCT00000052188_76_2005_3670,7.170177999,-0.02858652,1.271570783,-0.022481265,0.982064056,NA,ns
ENSSSCT00000022376_ENSSSCG00000055162_ENSSSCT00000022376_1995_8199_9958,569.2283072,0.536139074,0.422882665,1.267819937,0.204862261,0.529798929,ns
CYP51A1_ENSSSCG00000015311_ENSSSCT00000037678_324_1833_2415,35.47031641,0.685937177,0.631534133,1.086144267,0.27741517,0.593821341,ns
ZNF567_ENSSSCG00000002932_ENSSSCT00000072047_1177_3127_6227,2.060154348,-1.411197813,2.207488794,-0.639277453,0.522642454,NA,ns
KRBA1_ENSSSCG00000034873_ENSSSCT00000044533_219_3402_6041,1.620371744,-0.922765921,2.372061864,-0.389014273,0.697265588,NA,ns
RPS18_ENSSSCG00000001502_ENSSSCT00000001675_45_501_543,123.3709913,-1.78495204,0.49004274,-3.642441553,0.000270064,0.011628769,down
DPY19L4_ENSSSCG00000006098_ENSSSCT00000062305_114_2334_2804,6.834267556,-0.970977087,1.254696236,-0.773874233,0.439005169,NA,ns
AP5Z1_ENSSSCG00000007577_ENSSSCT00000088192_90_2880_6384,49.22493758,0.452665024,0.54550784,0.829804799,0.406649157,0.703946262,ns
CACNA1E_ENSSSCG00000015543_ENSSSCT00000016932_0_6930_7934,2.69103791,1.399262966,1.75680443,0.79648192,0.42575198,NA,ns
ENSSSCT00000073573_ENSSSCG00000037143_ENSSSCT00000073573_24_705_2996,9.619765217,-0.587338953,1.050018214,-0.559360729,0.575915557,NA,ns
MMD_ENSSSCG00000017605_ENSSSCT00000019166_177_999_2712,1.067429181,-2.259939936,2.853131643,-0.792091014,0.428307609,NA,ns
AP2M1_ENSSSCG00000024437_ENSSSCT00000030395_111_1416_3171,57.82391435,0.179759174,0.558041477,0.322125113,0.747357914,0.897797377,ns
RAP1A_ENSSSCG00000006785_ENSSSCT00000054681_199_751_1479,35.53606646,-1.143129965,0.638697395,-1.789783353,0.073488746,0.324859378,ns
MRS2_ENSSSCG00000001087_ENSSSCT00000048351_70_1309_3480,1.661641517,-0.953406505,2.47672779,-0.38494602,0.700277409,NA,ns
GCH1_ENSSSCG00000035715_ENSSSCT00000062967_142_889_5256,7.208426105,-0.501170176,1.158497239,-0.432603686,0.665302711,NA,ns
RASSF4_ENSSSCG00000029662_ENSSSCT00000054543_303_1287_2690,4.416922984,0.783271662,1.402462032,0.558497588,0.576504651,NA,ns
RXRA_ENSSSCG00000038220_ENSSSCT00000037388_6_1692_5115,23.14866357,0.602236599,0.695752364,0.865590445,0.386714797,0.690621541,ns
ENSSSCT00000053219_ENSSSCG00000038757_ENSSSCT00000053219_40_517_2646,1.046077629,-2.215711316,2.875122511,-0.770649358,0.440914797,NA,ns
SNX27_ENSSSCG00000006619_ENSSSCT00000076454_42_1719_5808,23.87075096,0.096212757,0.722108693,0.133238608,0.894004679,0.956533995,ns
CRELD1_ENSSSCG00000011560_ENSSSCT00000106340_76_1375_1666,12.43504308,0.620135955,0.889315057,0.697318627,0.485603413,0.753072768,ns
ARAP3_ENSSSCG00000014391_ENSSSCT00000056738_102_4737_5297,41.62718964,-0.489191734,0.590251777,-0.828784856,0.407226159,0.704735237,ns
MYADM_ENSSSCG00000003253_ENSSSCT00000086425_2025_3198_4494,117.4140274,1.74246119,0.558796882,3.11823714,0.001819364,0.039170223,up
NINJ1_ENSSSCG00000063184_ENSSSCT00000095433_36_489_3385,5.876833119,0.734885426,1.25390035,0.586079608,0.557822019,NA,ns
BAG3_ENSSSCG00000010686_ENSSSCT00000106966_866_2585_3132,5.082413448,-1.855386809,1.562003155,-1.187825263,0.234902259,NA,ns
GIPC2_ENSSSCG00000035582_ENSSSCT00000051502_51_990_5750,2.423826022,0.802012388,1.891631108,0.423979276,0.671580927,NA,ns
PRP4K_ENSSSCG00000001002_ENSSSCT00000001094_46_3166_3242,190.6355568,-0.177086335,0.424947432,-0.416725275,0.676879365,0.859339015,ns
ENSSSCT00000046200_ENSSSCG00000035561_ENSSSCT00000046200_328_1153_1256,9.848111587,0.885396043,1.084049091,0.81674903,0.414071866,NA,ns
ARFRP1_ENSSSCG00000035304_ENSSSCT00000051782_102_705_1985,34.3420242,0.7482509,0.668847889,1.118716097,0.263261276,0.57912478,ns
SEC11C_ENSSSCG00000004912_ENSSSCT00000005420_62_845_1065,6.538076423,-0.238812343,1.20831366,-0.197641019,0.843325939,NA,ns
MRPL22_ENSSSCG00000017065_ENSSSCT00000037258_0_711_6648,13.5697639,0.93721278,0.853320399,1.098312874,0.272067892,0.589108777,ns
HNRNPH3_ENSSSCG00000010238_ENSSSCT00000045429_4506_5544_5760,161.2988219,-0.348633767,0.439714146,-0.79286457,0.427856731,0.719447839,ns
CHAF1A_ENSSSCG00000013509_ENSSSCT00000014756_166_3034_3403,29.30613389,-0.142156131,0.677216362,-0.209912429,0.833736022,0.933277006,ns
CCR3_ENSSSCG00000024311_ENSSSCT00000030755_11_1085_1456,3.098793186,0.779743823,1.651503088,0.47214191,0.6368255,NA,ns
HTRA1_ENSSSCG00000010703_ENSSSCT00000067649_0_1398_1951,6.49120541,2.432155095,1.223406423,1.988018903,0.046809599,NA,ns
ENSSSCT00000106104_ENSSSCG00000055221_ENSSSCT00000106104_1067_1475_1567,68458.49277,1.01107852,0.471496087,2.1444049,0.032000458,0.210190579,ns
FASLG_ENSSSCG00000022226_ENSSSCT00000026331_224_1070_2390,4.242548614,-0.51770532,1.491920778,-0.347005906,0.728586882,NA,ns
CCDC191_ENSSSCG00000011913_ENSSSCT00000013036_18_2628_3664,18.44256509,-0.375810674,0.798676979,-0.470541513,0.637968182,0.843299986,ns
