,H6,H7,W10,W6
ENSSSCT00000062282,0,0.370618096,2.7530251,2.209277183
ENSSSCT00000000720,0,0.147109918,0,0
ENSSSCT00000073778,15.21906613,2.748836429,11.34383611,10.92398829
ENSSSCT00000061122,5.101284004,3.685533709,18.25125275,7.323230775
ENSSSCT00000025162,0,0,9.635587849,0
ENSSSCT00000000287,32.1997531,25.04047902,24.00073164,21.66791084
ENSSSCT00000079199,22.52332656,28.0893788,11.99158078,1.924626536
ENSSSCT00000005463,23.45035373,25.54779007,9.988109356,8.015365391
ENSSSCT00000072633,10.85457103,8.545901301,4.97887518,11.98650387
ENSSSCT00000066013,6.004462156,27.11284019,13.42663881,10.77475348
ENSSSCT00000107092,51.48065365,65.54560352,67.93755488,51.49041178
ENSSSCT00000076723,9.111248545,8.776826543,0,0
ENSSSCT00000003017,122.7220166,73.20186471,57.59431,58.45331617
ENSSSCT00000041366,9.382341852,8.690355346,6.455369199,9.06565465
ENSSSCT00000045784,119.1273633,64.76371309,51.68604162,41.47757042
ENSSSCT00000060544,28.42709546,34.88788551,29.33820778,15.69576029
ENSSSCT00000053182,8.004199989,7.71041143,4.295585492,2.298111756
ENSSSCT00000047587,0.762273031,0.229466979,0,0
ENSSSCT00000019257,51.49696893,60.84585132,43.1823357,53.13525177
ENSSSCT00000023391,0.265799849,0,0,0
ENSSSCT00000039445,4.685784966,3.291309954,3.492643783,2.802814337
ENSSSCT00000042475,0.14125422,0,0,0
ENSSSCT00000058276,1.258667325,2.368103167,0,2.540953462
ENSSSCT00000005966,12.64684858,23.72103469,29.72998995,22.69423508
ENSSSCT00000092858,25.43138881,30.44123651,31.63038082,64.26781881
ENSSSCT00000038707,18.85676644,12.34011007,28.41608728,41.19368537
ENSSSCT00000007545,1.126991359,0.678516206,0,0
ENSSSCT00000033236,2.899840737,1.880175844,2.992783071,3.202240985
ENSSSCT00000031470,0.227075134,0.136712813,1.015530027,0.814953456
ENSSSCT00000023050,26.64110262,23.90408454,54.57604192,47.49790435
ENSSSCT00000030371,0.225121199,0.135536427,0,0
ENSSSCT00000023395,0.451352054,0.271740933,3.027818733,0
ENSSSCT00000011154,12.14161961,13.70621479,9.049999637,10.89381153
ENSSSCT00000017343,0.266379776,0,0,0
ENSSSCT00000084938,0,0.194460112,0,0
ENSSSCT00000017651,3.475892683,1.569521473,1.943119732,0
ENSSSCT00000038920,102.2834577,57.1821337,34.85212626,29.71654084
ENSSSCT00000085588,24.13961212,38.01066704,22.83719807,11.66240744
ENSSSCT00000010726,2.861501496,2.584192581,6.398632556,1.711614485
ENSSSCT00000001875,15.97831708,29.45170175,29.68278404,27.34907225
ENSSSCT00000062565,0.278958257,0,0,1.001157596
ENSSSCT00000011534,0.237684745,0,1.062978543,1.706060901
ENSSSCT00000078746,3.118230838,1.588536631,0,6.886810343
ENSSSCT00000042585,2.038080557,3.856431536,0,0
ENSSSCT00000041197,0,0,2.182611505,1.751525549
ENSSSCT00000014612,0.231817843,0.139568207,0,0
ENSSSCT00000000614,0,0.284722746,0,0.84862487
ENSSSCT00000095204,5.41531466,5.92789696,11.0084001,5.300483565
ENSSSCT00000000845,0.988588911,0.297594827,0,1.773981004
ENSSSCT00000032329,16.39181104,25.86319488,12.63927418,28.40012182
ENSSSCT00000037529,11.52180735,18.25478203,24.40802882,23.93993239
ENSSSCT00000076692,49.72569487,55.12944172,27.12003203,10.88178745
ENSSSCT00000094263,109.4906195,99.66461351,58.29359197,62.37342463
ENSSSCT00000039929,40.82117554,37.0335181,40.01343351,38.1311123
ENSSSCT00000027528,60.44266066,48.83115572,30.03476607,35.22690911
ENSSSCT00000055448,17.26172331,19.81087449,12.06222337,27.10350359
ENSSSCT00000036626,8.947106968,15.48674393,2.500839594,6.020701943
ENSSSCT00000016479,1.70095445,0,0,0
ENSSSCT00000061014,0,0.338217434,0,2.016134853
ENSSSCT00000051340,20.34845508,24.5019741,10.70620872,8.591633491
ENSSSCT00000080982,2.491647561,6.000483453,0,8.942312409
ENSSSCT00000030598,22.19831464,21.71765886,12.4094692,9.958484274
ENSSSCT00000060481,19.56349984,23.55679409,4.860682298,15.60261038
ENSSSCT00000044844,0,3.231029552,12.00036582,0
ENSSSCT00000046662,12.26748967,3.165326798,7.837559494,0
ENSSSCT00000047968,41.35331195,32.40583671,26.42016023,21.20193426
ENSSSCT00000047845,0,1.407560214,0,0
ENSSSCT00000014686,21.26741757,22.76312432,36.98822432,46.64425537
ENSSSCT00000026305,12.71778443,17.61079388,17.06302015,0
ENSSSCT00000078515,16.64873598,22.91093682,17.72781314,11.38112488
