Transcript,TE_H,TE_W,log2_fold_change,regulation,ensembl_gene_id,external_gene_name,gene_biotype,description
ENSSSCT00000000003,1.78404838765466,1.23612856082442,-0.52932594976432,down,ENSSSCG00000000002,GTSE1,protein_coding,G2 and S-phase expressed 1 [Source:VGNC Symbol;Acc:VGNC:88745]
ENSSSCT00000000008,0.210714463303915,0.118775131670395,-0.827056537128337,down,ENSSSCG00000000007,TRMU,protein_coding,tRNA mitochondrial 2-thiouridylase [Source:VGNC Symbol;Acc:VGNC:94454]
ENSSSCT00000000023,2.31493932372195,0.740905599130914,-1.64361273835841,down,ENSSSCG00000000022,RTL6,protein_coding,retrotransposon Gag like 6 [Source:VGNC Symbol;Acc:VGNC:92499]
ENSSSCT00000000039,2.26887989496492,1.322983243868,-0.778185451374802,down,ENSSSCG00000000037,ARFGAP3,protein_coding,ADP ribosylation factor GTPase activating protein 3 [Source:VGNC Symbol;Acc:VGNC:85450]
ENSSSCT00000000048,1.17174310635461,0.330987793632991,-1.823806388571,down,ENSSSCG00000020945,SMDT1,protein_coding,single-pass membrane protein with aspartate rich tail 1 [Source:VGNC Symbol;Acc:VGNC:93247]
ENSSSCT00000000049,3.90442173679812,1.91432602467672,-1.02827234129061,down,ENSSSCG00000000045,NDUFA6,protein_coding,NADH:ubiquinone oxidoreductase subunit A6 [Source:VGNC Symbol;Acc:VGNC:90637]
ENSSSCT00000000077,1.94121020828241,0.935482038824602,-1.05317449274224,down,ENSSSCG00000000071,ST13,protein_coding,ST13 Hsp70 interacting protein [Source:VGNC Symbol;Acc:VGNC:112551]
ENSSSCT00000000122,3.45730504979933,1.75531913132005,-0.977914555023866,down,ENSSSCG00000000116,POLR2F,protein_coding,"RNA polymerase II, I and III subunit F [Source:VGNC Symbol;Acc:VGNC:91650]"
ENSSSCT00000000142,0.228451399271214,1.40845635732857,2.62415567657468,up,ENSSSCG00000000136,CSF2RB,protein_coding,colony stimulating factor 2 receptor subunit beta [Source:VGNC Symbol;Acc:VGNC:87033]
ENSSSCT00000000164,0.894630428793506,0.0728064690905257,-3.61915327976827,down,ENSSSCG00000000156,FBXO7,protein_coding,F-box protein 7 [Source:VGNC Symbol;Acc:VGNC:88053]
ENSSSCT00000000167,3.5908937552512,0.514077890350762,-2.80428409764294,down,ENSSSCG00000000158,RTCB,protein_coding,"RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:NCBI gene (formerly Entrezgene);Acc:733658]"
