Bile,CA,TCDCA,UDCA,GCA,6.7-DIKETOLCA,T-A-MCA,B-MCA,TUDCA
CON1,299.456,8.769,27.343,0.788,3.031,18.303,306.744,7.176
CON2,350.67,19.482,35.235,1.895,2.939,39.285,250.768,9.845
CON3,221.079,12.713,15.692,1.275,0.743,20.43,106.522,8.57
CON4,292.715,19.046,20.613,1.675,1.704,45.897,193.388,15.622
CON5,24.221,6.84,4.965,0.159,0.934,20.382,68.465,4.476
DSS1,41.605,2.384,7.975,0,0.797,10.234,100.194,2.288
DSS2,33.953,8.806,2.889,0.527,0.332,23.402,22.954,7.328
DSS3,47.008,4.473,1.646,0.313,0.158,11.719,29.349,6.718
DSS4,118.111,4.179,13.797,0.283,1.345,10.905,183.986,1.832
DSS5,59.747,6.847,1.282,0.459,0,17.069,33.126,5.274
