type,body weight,colon length,serum IL1B,serum IL6,serum TNFA,ileum IL1B,ileum IL6,ileum TNFA,colon IL1B,colon IL6,colon TNFA
CON1,21.96,7.1,188.66728,106.422245,156.80396,28.65217351,45.28262027,191.7186482,28.12263768,56.85466103,159.2038257
CON2,23.02,6.4,191.11827,102.207105,155.55725,17.69168057,60.92486879,167.7473357,18.51276975,55.32342565,146.3985019
CON3,21.87,6.4,165.146835,95.5171,172.45242,45.65253145,60.42160038,227.1758276,35.34377638,48.13793915,176.8965385
CON4,21.46,6.1,166.2094,105.86885,183.2849,23.88058337,56.43008015,205.8356263,10.31442447,52.94199181,170.4492985
CON5,21.78,6.4,197.440235,99.53778,197.468415,18.41997419,47.21104619,126.3227466,29.9982196,42.77814947,116.9630967
DSS1,18.82,4.8,255.69913,138.1682,252.89986,105.0079417,108.5944244,362.8941374,54.01406178,108.3524866,387.4963319
DSS2,17.87,5.5,252.629545,141.7083,308.79775,70.50187587,100.8815899,297.6225719,35.06814213,67.59977282,220.803667
DSS3,17.59,4.9,233.714595,129.8311,256.139825,93.55918361,113.1224044,357.2240485,49.29433652,70.41249318,231.7469741
DSS4,18.99,4.9,265.762485,120.1713,232.75858,57.56150444,95.01932,247.0183139,40.36488302,85.01816471,331.6296608
DSS5,19.63,5.5,266.45958,154.3038,229.671915,52.47676523,109.3196929,359.8113952,31.32338162,126.6925081,397.7772476
