Transcript,external_gene_name,TE_H6,TE_H7,TE_W10,TE_W6
ENSSSCT00000062282,A1CF,NA,NA,NA,NA
ENSSSCT00000000720,A2ML1,0,NA,NA,NA
ENSSSCT00000073778,A2M,8.119695074,2.696794908,136.947411,24.60528569
ENSSSCT00000061122,A4GALT,1.630155775,0.808675681,8.849737289,0.922957014
ENSSSCT00000025162,A4GNT,NA,NA,NA,NA
ENSSSCT00000000287,AAAS,1.831947711,2.489217797,4.06539717,2.457191676
ENSSSCT00000079199,AACS,3.864368632,6.19497427,2.731909408,0.681823004
ENSSSCT00000005463,AAGAB,3.519866916,6.602133007,23.3050076,3.936860883
ENSSSCT00000072633,AAK1,2.715456354,1.478900637,1.060791013,3.78639784
ENSSSCT00000066013,AAMDC,2.341533748,5.620577086,2.790062672,17.91023864
ENSSSCT00000107092,AAMP,4.772623691,1.987370471,1.71912602,3.210278157
ENSSSCT00000076723,AAR2,3.632583782,2.713213146,0,0
ENSSSCT00000003017,AARS1,1.637195529,4.912659786,4.080596854,1.751523095
ENSSSCT00000041366,AARS2,1.257820642,1.591531091,1.096975561,1.45319216
ENSSSCT00000045784,AARSD1,4.91070243,18.65110197,4.556842582,2.642374933
ENSSSCT00000060544,AASDHPPT,1.795293243,10.05266737,27.2754487,NA
ENSSSCT00000053182,AASDH,3.107967314,2.144030375,2.875626183,1.092593229
ENSSSCT00000047587,AASS,1.881443522,NA,NA,NA
ENSSSCT00000019257,AATF,0.945595313,4.126508393,8.332930648,9.763300136
ENSSSCT00000023391,AATK,NA,NA,NA,NA
ENSSSCT00000039445,ABAT,0.753053814,NA,NA,NA
ENSSSCT00000042475,ABCA12,1.244648195,NA,NA,NA
ENSSSCT00000058276,ABCA13,0.937232682,6.277746982,0,7.783230297
ENSSSCT00000005966,ABCA1,7.819992926,5.13117128,280.7843679,NA
ENSSSCT00000092858,ABCA2,1.449127555,5.019414571,10.46569544,12.76578932
ENSSSCT00000038707,ABCA3,0.842585361,2.327976566,49.94999765,25.56600694
ENSSSCT00000007545,ABCA4,6.167226088,NA,NA,NA
ENSSSCT00000033236,ABCA5,8.265587316,1.373336894,6.444446111,17.03383985
ENSSSCT00000031470,ABCA6,0.006011304,0.213256815,1.700785036,NA
ENSSSCT00000023050,ABCA7,2.347078787,0.776363556,1.832094561,1.171083415
ENSSSCT00000030371,ABCA8,2.872642753,NA,NA,NA
ENSSSCT00000023395,ABCA9,1.026608374,2.122726138,15.45700452,0
ENSSSCT00000011154,ABCB10,2.082380305,49.05063718,0.891601345,11.3242117
ENSSSCT00000017343,ABCB11,NA,0,NA,NA
ENSSSCT00000084938,ABCB5,NA,NA,NA,NA
ENSSSCT00000017651,ABCB6,0.676889315,0.454047274,2.425008947,0
ENSSSCT00000038920,ABCB7,4.752819096,2.189702408,4.031210606,2.709345974
ENSSSCT00000085588,ABCB8,5.468621309,2.028092182,1.818026639,2.733958153
ENSSSCT00000010726,ABCB9,1.46425395,1.699731878,13.06038682,1.492677602
ENSSSCT00000001875,ABCC10,0.503949723,2.412915189,2.636977409,2.254578404
ENSSSCT00000062565,ABCC11,1.863127523,NA,NA,NA
ENSSSCT00000011534,ABCC2,NA,0,NA,NA
ENSSSCT00000078746,ABCC3,1.844810418,2.081460398,0,37.59483482
ENSSSCT00000042585,ABCC5,0.811807448,2.824358335,0,0
ENSSSCT00000041197,ABCC6,NA,NA,NA,29.77736359
ENSSSCT00000014612,ABCC8,NA,NA,NA,NA
ENSSSCT00000000614,ABCC9,0,NA,NA,NA
ENSSSCT00000095204,ABCD1,4.491999145,1.119856292,5.54526136,1.874007143
ENSSSCT00000000845,ABCD2,1.430636174,NA,NA,NA
ENSSSCT00000032329,ABCD3,4.558618332,11.36532224,4.669323263,63.94868037
ENSSSCT00000037529,ABCD4,0.844640352,7.489973681,2.082440314,2.134316376
ENSSSCT00000076692,ABCE1,1.349909686,8.72095496,4.733837642,3.049248376
ENSSSCT00000094263,ABCF1,1.523074097,2.575155257,1.217299648,6.137390843
ENSSSCT00000039929,ABCF2,2.690243653,20.12278194,7.025946782,5.070570537
ENSSSCT00000027528,ABCF3,1.773952893,3.4319809,6.226169037,3.392697168
ENSSSCT00000055448,ABCG1,7.17105924,4.153075197,31.64838995,60.01000849
ENSSSCT00000036626,ABCG2A,1.491344675,4.416085388,2.888541443,8.448684947
ENSSSCT00000016479,ABCG4,NA,0,NA,0
ENSSSCT00000061014,ABCG5,NA,0.955425635,NA,NA
ENSSSCT00000051340,ABHD10,1.887475638,NA,2.972755497,3.513457303
ENSSSCT00000080982,ABHD11,0.069989718,NA,0,2.823074155
ENSSSCT00000030598,ABHD12,1.87529327,11.80485924,4.845014939,0.600052604
ENSSSCT00000060481,ABHD13,4.367961535,21.99724622,2.737601584,11.83333396
ENSSSCT00000044844,ABHD14A,0,1.426557173,4.646404104,0
ENSSSCT00000046662,ABHD14B,5.367440962,0.531448598,3.446489573,0
ENSSSCT00000047968,ABHD16A,1.937412099,0.62636616,10.07468207,0.516410541
ENSSSCT00000047845,ABHD16B,NA,0.159105916,NA,NA
ENSSSCT00000014686,ABHD17A,0.497168947,0.881155364,0.910635973,0.898561748
ENSSSCT00000026305,ABHD17B,0.468253056,3.127494212,5.430164442,0
ENSSSCT00000078515,ABHD18,0.478166216,4.438775144,4.36001947,5.834929495
ENSSSCT00000009359,ABHD1,NA,0.474199694,4.745279829,15.18502236
ENSSSCT00000062921,ABHD2,4.437577816,8.489066383,19.39637077,14.03735001
ENSSSCT00000061687,ABHD3,3.250827848,NA,4.961062503,22.52406768
ENSSSCT00000054768,ABHD4,NA,NA,0,0
ENSSSCT00000012367,ABHD5,6.052469799,3.565839028,3.453641021,11.69034833
ENSSSCT00000045837,ABHD6,6.454241704,8.899507706,5.841235582,12.55874614
ENSSSCT00000043193,ABHD8,0.937989261,0.652619806,0,0
ENSSSCT00000012106,ABI1,9.823354569,3.132405371,4.444494278,13.33693892
ENSSSCT00000043165,ABI2,NA,3.931178665,0,6.202523908
ENSSSCT00000070803,ABI3BP,0.457505143,NA,NA,NA
ENSSSCT00000054304,ABL1,0.204079565,3.767202932,3.6836522,6.674373316
ENSSSCT00000054313,ABL2,0.728915399,7.766689653,65.87668344,31.30251275
ENSSSCT00000011650,ABLIM1,0.51436066,1.470666821,5.123454779,1.491423764
ENSSSCT00000107101,ABLIM2,NA,2.119669838,NA,NA
ENSSSCT00000015774,ABLIM3,1.268062863,2.276747579,2.511621363,20.19725518
ENSSSCT00000004581,ABRACL,7.462134126,29.04449132,1.833489141,7.417615141
ENSSSCT00000010113,ABRAXAS1,1.285350668,3.116067965,1.570834323,NA
ENSSSCT00000011749,ABRAXAS2,29.53452878,12.43010343,7.986529669,39.80384334
ENSSSCT00000041495,ABRA,0.652180079,0,NA,NA
ENSSSCT00000061110,ABR,0.603401843,2.947014864,8.923372993,1.917821751
ENSSSCT00000052336,ABT1,0.473868677,8.937701124,12.0149544,12.58324514
ENSSSCT00000058290,ABTB1,10.50367203,9.218338427,3.615990184,3.70477369
ENSSSCT00000014529,ABTB2,4.480757604,0.75052243,0,10.10162622
ENSSSCT00000000171,ABTB3,1.332714622,1.55902878,3.613782994,3.576321716
ENSSSCT00000012317,ACAA1,11.45396521,4.416949685,6.092576981,22.27942277
ENSSSCT00000053817,ACAA2,2.422644581,3.80920387,11.86538222,12.65489458
ENSSSCT00000042467,ACACA,5.704021853,7.715833943,4.001724083,6.397933065
ENSSSCT00000095843,ACACB,NA,NA,NA,NA
ENSSSCT00000010780,ACAD10,2.525234052,4.511452897,3.248200017,0.413419948
ENSSSCT00000085065,ACAD11,0.284911989,1.221637887,12.16167811,2.216042796
ENSSSCT00000102490,ACAD8,1.326575451,1.785539006,8.597375431,0.442662662
ENSSSCT00000023990,ACAD9,0.191040539,1.361052016,0.455053644,0.61883579
ENSSSCT00000017589,ACADL,9.355566587,5.11107325,4.520187834,0.809511696
ENSSSCT00000061492,ACADM,9.502494538,3.242231339,11.91373382,19.96609778
ENSSSCT00000011734,ACADSB,9.186500994,3.795545305,2.34163909,9.449574279
ENSSSCT00000052413,ACADS,0.994845548,1.524963172,0.987766064,11.36200945
ENSSSCT00000068392,ACADVL,0.288259246,1.003778625,1.422447635,2.828929425
ENSSSCT00000064359,ACAN,NA,NA,NA,NA
ENSSSCT00000029870,ACAP1,1.734928616,5.3010807,3.441899183,1.096334957
