"GeneID","RNAseq_H2","RNAseq_H3","RNAseq_H6","RNAseq_H7","RNAseq_H8","RNAseq_W1","RNAseq_W10","RNAseq_W6","RNAseq_W7","RNAseq_W9"
"ENSSSCG00000000002",3,7,9,10,13,5,74,66,60,105
"ENSSSCG00000000003",10,22,15,22,25,16,78,86,257,315
"ENSSSCG00000000005",3,9,5,6,17,9,41,21,53,70
"ENSSSCG00000000006",1,2,2,1,1,3,1,0,8,10
"ENSSSCG00000000007",10,6,16,20,9,12,77,90,101,193
"ENSSSCG00000000010",1,2,1,2,5,1,18,2,1,21
"ENSSSCG00000000014",16,26,13,22,43,16,121,80,243,255
"ENSSSCG00000000018",64,50,52,35,63,64,327,430,1077,1082
"ENSSSCG00000000019",20,50,70,34,85,64,576,284,1195,1472
"ENSSSCG00000000020",1,0,0,0,0,0,0,0,4,3
"ENSSSCG00000000021",0,0,0,0,1,2,0,0,4,6
"ENSSSCG00000000022",11,17,29,28,37,25,109,109,303,433
"ENSSSCG00000000024",55,154,81,114,159,73,953,1138,736,510
"ENSSSCG00000000025",62,100,87,103,146,111,611,782,1447,1757
"ENSSSCG00000000026",0,1,0,1,0,1,1,0,0,0
"ENSSSCG00000000029",0,3,4,5,11,1,2,1,21,5
"ENSSSCG00000000031",6,6,0,1,6,1,26,26,80,62
"ENSSSCG00000000033",38,26,15,26,52,22,414,537,1140,619
"ENSSSCG00000000034",41,55,69,55,170,57,384,678,1184,1161
"ENSSSCG00000000035",3,4,8,2,19,10,43,37,42,53
"ENSSSCG00000000036",42,78,80,52,110,59,343,191,678,713
"ENSSSCG00000000037",27,26,35,28,65,44,468,313,962,1048
"ENSSSCG00000000038",10,18,15,16,65,10,99,195,274,304
"ENSSSCG00000000039",49,61,57,62,161,63,477,486,1352,1624
"ENSSSCG00000000040",10,16,22,18,36,32,71,214,300,259
"ENSSSCG00000000045",17,14,26,30,38,22,111,85,232,260
"ENSSSCG00000000046",1,4,6,3,3,4,13,15,21,9
"ENSSSCG00000000050",28,21,35,26,71,28,183,142,559,531
"ENSSSCG00000000058",8,15,12,10,55,16,327,320,516,625
"ENSSSCG00000000059",7,12,27,21,43,25,292,266,599,504
"ENSSSCG00000000061",3,11,5,13,16,8,45,74,142,122
"ENSSSCG00000000062",0,3,2,2,12,4,14,12,53,33
"ENSSSCG00000000063",3,10,7,3,9,9,21,17,56,56
"ENSSSCG00000000064",60,56,95,72,172,80,824,933,1979,1855
"ENSSSCG00000000066",22,40,40,43,56,58,189,309,548,602
"ENSSSCG00000000068",132,284,298,233,400,232,507,371,1687,2050
"ENSSSCG00000000071",32,73,84,73,127,93,995,383,1665,1607
"ENSSSCG00000000072",6,10,4,4,15,5,89,72,166,187
"ENSSSCG00000000074",1,1,1,2,4,0,1,0,0,0
"ENSSSCG00000000075",26,68,64,61,99,58,232,232,696,935
"ENSSSCG00000000076",9,53,22,26,43,15,342,451,533,656
"ENSSSCG00000000077",10,37,43,31,68,54,189,87,405,319
"ENSSSCG00000000078",71,167,221,212,270,211,129,59,521,630
"ENSSSCG00000000079",0,5,3,1,3,1,0,19,1,5
"ENSSSCG00000000080",34,79,68,35,67,43,430,346,591,794
"ENSSSCG00000000082",0,1,1,3,1,0,1,3,11,5
"ENSSSCG00000000087",14,25,24,23,53,30,159,280,380,534
"ENSSSCG00000000091",3,11,10,6,10,5,63,58,137,118
"ENSSSCG00000000092",1,8,3,3,7,2,24,17,4,49
"ENSSSCG00000000093",4,2,8,4,16,5,27,20,26,63
"ENSSSCG00000000094",85,207,205,198,327,221,801,586,2775,3952
"ENSSSCG00000000095",24,33,38,41,62,44,184,134,535,641
"ENSSSCG00000000097",18,37,47,30,83,35,496,484,799,813
"ENSSSCG00000000103",0,0,0,0,1,2,0,0,0,1
"ENSSSCG00000000104",86,138,177,165,257,219,495,234,1359,1244
"ENSSSCG00000000105",0,0,0,0,11,0,6,10,4,11
"ENSSSCG00000000106",0,0,0,0,3,0,0,0,0,0
"ENSSSCG00000000107",16,27,22,21,76,23,202,147,430,443
"ENSSSCG00000000108",14,16,13,17,35,10,56,37,180,267
"ENSSSCG00000000110",5,5,12,7,15,11,43,30,73,114
"ENSSSCG00000000111",0,1,1,0,28,2,2,4,1,27
"ENSSSCG00000000113",2,1,0,1,1,0,0,0,0,0
"ENSSSCG00000000114",9,9,5,12,23,6,81,127,153,172
"ENSSSCG00000000116",5,6,9,9,23,16,98,127,173,204
"ENSSSCG00000000117",0,0,2,0,3,0,6,5,8,23
"ENSSSCG00000000118",25,41,47,40,80,35,209,300,478,579
"ENSSSCG00000000119",31,52,63,52,115,52,730,1196,1346,1836
"ENSSSCG00000000120",6,13,10,5,15,10,43,79,94,154
"ENSSSCG00000000121",0,0,0,0,1,0,0,0,1,3
"ENSSSCG00000000130",38,78,59,71,119,63,371,329,958,1276
"ENSSSCG00000000131",0,4,1,2,0,0,0,0,0,1
"ENSSSCG00000000133",8,10,2,3,14,3,47,45,98,52
"ENSSSCG00000000135",3,2,3,1,11,8,19,12,18,19
"ENSSSCG00000000136",167,172,118,130,257,169,621,324,2107,1713
"ENSSSCG00000000137",51,55,56,40,53,37,146,244,404,355
"ENSSSCG00000000138",1,0,0,0,0,0,0,0,0,0
"ENSSSCG00000000139",1,3,1,4,6,2,20,24,19,8
"ENSSSCG00000000141",63,141,112,123,235,136,1540,1957,3770,2693
"ENSSSCG00000000142",3,10,3,7,7,7,40,25,98,48
"ENSSSCG00000000144",6,25,13,4,19,12,130,104,190,226
"ENSSSCG00000000145",1391,3872,2374,2539,4311,2243,8147,10359,20483,18071
"ENSSSCG00000000146",3,5,5,3,12,14,2,10,10,26
"ENSSSCG00000000148",32,39,36,34,41,24,99,88,204,387
"ENSSSCG00000000151",0,0,1,0,0,0,0,0,0,0
"ENSSSCG00000000152",0,1,4,0,7,1,0,0,3,9
"ENSSSCG00000000156",1,15,22,14,28,22,176,130,254,241
"ENSSSCG00000000157",0,1,2,1,1,0,2,6,7,4
"ENSSSCG00000000158",18,30,56,32,94,50,491,339,744,721
"ENSSSCG00000000160",6,9,16,14,21,12,84,32,113,186
"ENSSSCG00000000161",7,19,15,20,34,19,157,116,288,262
"ENSSSCG00000000162",27,34,72,78,95,44,212,96,693,315
"ENSSSCG00000000164",14,22,18,21,42,29,162,55,230,320
"ENSSSCG00000000167",0,7,13,11,16,10,30,16,43,58
"ENSSSCG00000000171",14,11,13,10,30,4,72,80,112,137
"ENSSSCG00000000174",0,1,2,1,2,0,0,0,0,0
"ENSSSCG00000000175",8,31,13,10,47,10,182,131,88,68
"ENSSSCG00000000176",33,66,81,59,121,76,415,431,969,1295
"ENSSSCG00000000179",1,1,2,0,1,1,4,2,13,26
"ENSSSCG00000000182",4,1,4,1,4,2,23,5,41,106
"ENSSSCG00000000183",0,0,0,1,1,0,2,0,0,0
"ENSSSCG00000000184",3,3,2,0,0,0,2,0,2,1
"ENSSSCG00000000185",14,19,22,23,35,22,148,164,332,391
"ENSSSCG00000000186",1,0,1,0,1,0,1,4,11,15
"ENSSSCG00000000188",1,4,1,2,3,0,0,0,0,1
"ENSSSCG00000000189",14,15,20,14,26,25,169,137,395,433
"ENSSSCG00000000190",20,25,33,34,117,22,2104,1876,2192,2442
"ENSSSCG00000000194",1,2,1,1,30,5,79,55,44,60
"ENSSSCG00000000195",0,0,1,1,2,0,1,0,0,2
"ENSSSCG00000000197",2,2,2,1,2,3,0,0,0,2
"ENSSSCG00000000198",3,1,2,1,14,1,0,0,0,5
"ENSSSCG00000000199",16,29,34,25,27,13,113,68,261,266
"ENSSSCG00000000202",12,26,21,20,49,24,208,271,431,537
"ENSSSCG00000000203",2,2,0,2,22,1,0,0,1,3
"ENSSSCG00000000204",0,4,1,4,12,2,19,9,33,36
"ENSSSCG00000000205",0,5,1,2,3,5,0,0,1,0
"ENSSSCG00000000206",0,0,1,1,5,0,1,0,0,0
"ENSSSCG00000000207",0,0,0,0,0,0,3,1,3,1
"ENSSSCG00000000209",5,11,11,15,18,13,31,32,116,175
"ENSSSCG00000000211",0,0,0,0,0,0,2,0,1,0
"ENSSSCG00000000212",0,1,0,2,0,0,0,1,0,1
"ENSSSCG00000000214",3,11,8,3,8,4,5,24,21,41
"ENSSSCG00000000215",12,22,16,18,45,38,148,229,564,561
"ENSSSCG00000000216",1,0,0,0,2,0,0,0,2,2
"ENSSSCG00000000217",8,9,17,24,91,29,205,93,242,295
"ENSSSCG00000000220",0,2,3,6,5,1,13,9,49,30
"ENSSSCG00000000223",69,133,203,153,214,128,1241,853,2904,2906
"ENSSSCG00000000228",3,2,2,4,0,2,16,9,39,39
"ENSSSCG00000000231",2,1,0,0,0,0,0,0,0,0
"ENSSSCG00000000232",112,37,54,21,40,38,73,63,1230,549
"ENSSSCG00000000233",12,5,1,1,13,2,11,11,41,80
"ENSSSCG00000000234",0,4,2,6,3,1,21,33,29,46
"ENSSSCG00000000235",0,0,1,0,0,0,0,4,1,5
"ENSSSCG00000000236",1,1,0,0,1,0,1,0,0,0
"ENSSSCG00000000238",0,1,0,0,0,0,0,0,0,0
"ENSSSCG00000000240",1,1,3,1,4,0,21,11,68,38
"ENSSSCG00000000241",0,0,1,0,0,0,0,0,0,0
"ENSSSCG00000000250",0,2,0,1,0,1,0,0,0,0
"ENSSSCG00000000251",0,0,0,1,0,3,0,0,0,0
"ENSSSCG00000000252",0,1,10,6,175,0,17,117,1,159
"ENSSSCG00000000253",0,0,1,3,65,4,3,0,0,0
"ENSSSCG00000000257",112,232,329,237,304,262,2963,2721,4777,4872
"ENSSSCG00000000258",21,20,17,15,25,21,66,83,324,455
"ENSSSCG00000000259",2,10,3,5,12,4,44,25,58,77
"ENSSSCG00000000260",0,2,0,0,10,0,0,0,0,0
