"sample_id","display_name"
"ASV8","ASV8 (Coprococcus sp.)"
"ASV1555","ASV1555 (Enterococcus sp.)"
"ASV54","ASV54 (Clostridium sp.)"
"ASV30","ASV30 (Clostridium sp.)"
"ASV73","ASV73 (Turicibacter sp.)"
"ASV9","ASV9 (Romboutsia sp.)"
"ASV17","ASV17 (Sharpea sp.)"
"ASV1834","ASV1834 (Lachnospiraceae sp.)"
"ASV22","ASV22 (Lactobacillus sp.)"
"ASV3402","ASV3402 (Megasphaera sp.)"
"ASV1540","ASV1540 (Megasphaera sp.)"
"ASV77","ASV77 (Lactobacillus sp.)"
"ASV1853","ASV1853 (Lactobacillus sp.)"
"ASV38","ASV38 (Blautia sp.)"
"ASV48","ASV48 (Blautia sp.)"
"ASV1515","ASV1515 (Streptococcus sp.)"
"ASV2996","ASV2996 (Fusobacterium sp.)"
"ASV2874","ASV2874 (Fusobacterium sp.)"
"ASV167","ASV167 (Collinsella sp.)"
"ASV2","ASV2 (Lactobacillus sp.)"
"ASV318","ASV318 (Peptostreptococcus sp.)"
"ASV2586","ASV2586 (Campylobacter sp.)"
"ASV2860","ASV2860 (Phascolarctobacterium sp.)"
"ASV172","ASV172 (Mogibacterium sp.)"
"ASV3058","ASV3058 (Allisonella sp.)"
"ASV1833","ASV1833 (Enterococcus sp.)"
"ASV7","ASV7 (Lactobacillus sp.)"
"ASV7036","ASV7036 (Bacteroides sp.)"
"ASV5","ASV5 (UCG-002 sp.)"
"ASV45","ASV45 (Escherichia-Shigella spp.)"
"ASV1517","ASV1517 (Escherichia-Shigella spp.)"
"ASV1831","ASV1831 (Eubacterium coprostanoligenes)"
"ASV21","ASV21 (Clostridium scindens)"
"ASV1089","ASV1089 (Fusobacterium gastrosuis)"
"ASV2839","ASV2839 (Pasteurella aerogenes)"
"ASV3729","ASV3729 (Cloacibacillus porcorum)"
"ASV31","ASV31 (Lactobacillus vaginalis Bacillus)"
"ASV1527","ASV1527 (Lactobacillus vaginalis Bacillus)"
"ASV33","ASV33 (gut metagenome)"
"ASV4","ASV4 (Christensenellaceae sp.)"
"ASV28","ASV28 (Christensenellaceae sp.)"
"ASV3787","ASV3787 (UCG.002)"
"ASV55","ASV55 (Anaerotignum lactatifermentans)"
"H6_PBMC","H6_PBMC"
"H7_PBMC","H7_PBMC"
"W6_PBMC","W6_PBMC"
"W10_PBMC","W10_PBMC"
