"Sample","Sequence_Name","CDS_Length","Total_Reads","Mean_Coverage","Median_Coverage","Max_Coverage","Coverage_Percentage_Above_1"
"H_RNAseq","CCL25_ENSSSCG00000013593_ENSSSCT00000047746_342_795_1186",1186,0,0,0,0,0
"W_RNAseq","CCL25_ENSSSCG00000013593_ENSSSCT00000047746_342_795_1186",1186,4,0.458684654300169,0,4,11.4671163575042
"H_Riboseq","CCL25_ENSSSCG00000013593_ENSSSCT00000047746_342_795_1186",1186,0,0,0,0,0
"W_Riboseq","CCL25_ENSSSCG00000013593_ENSSSCT00000047746_342_795_1186",1186,4,0.096964586846543,0,2,8.01011804384486
