Position,Count,Samples
0,0,ribo_H6_PBMC
1,0,ribo_H6_PBMC
2,0,ribo_H6_PBMC
3,0,ribo_H6_PBMC
4,0,ribo_H6_PBMC
5,0,ribo_H6_PBMC
6,0,ribo_H6_PBMC
7,0,ribo_H6_PBMC
8,0,ribo_H6_PBMC
9,0,ribo_H6_PBMC
10,0,ribo_H6_PBMC
11,0,ribo_H6_PBMC
12,0,ribo_H6_PBMC
13,0,ribo_H6_PBMC
14,0,ribo_H6_PBMC
15,0,ribo_H6_PBMC
16,0,ribo_H6_PBMC
17,0,ribo_H6_PBMC
18,0,ribo_H6_PBMC
19,0,ribo_H6_PBMC
20,0,ribo_H6_PBMC
21,0,ribo_H6_PBMC
22,0,ribo_H6_PBMC
23,0,ribo_H6_PBMC
24,0,ribo_H6_PBMC
25,0,ribo_H6_PBMC
26,0,ribo_H6_PBMC
27,0,ribo_H6_PBMC
28,0,ribo_H6_PBMC
29,0,ribo_H6_PBMC
30,0,ribo_H6_PBMC
31,0,ribo_H6_PBMC
32,0,ribo_H6_PBMC
33,0,ribo_H6_PBMC
34,0,ribo_H6_PBMC
35,0,ribo_H6_PBMC
36,0,ribo_H6_PBMC
37,0,ribo_H6_PBMC
38,0,ribo_H6_PBMC
39,0,ribo_H6_PBMC
40,0,ribo_H6_PBMC
41,0,ribo_H6_PBMC
42,0,ribo_H6_PBMC
43,0,ribo_H6_PBMC
44,0,ribo_H6_PBMC
45,0,ribo_H6_PBMC
46,0,ribo_H6_PBMC
47,0,ribo_H6_PBMC
48,0,ribo_H6_PBMC
49,0,ribo_H6_PBMC
50,0,ribo_H6_PBMC
51,0,ribo_H6_PBMC
52,0,ribo_H6_PBMC
53,0,ribo_H6_PBMC
54,0,ribo_H6_PBMC
55,0,ribo_H6_PBMC
56,0,ribo_H6_PBMC
57,0,ribo_H6_PBMC
58,0,ribo_H6_PBMC
59,0,ribo_H6_PBMC
60,0,ribo_H6_PBMC
61,0,ribo_H6_PBMC
62,0,ribo_H6_PBMC
63,0,ribo_H6_PBMC
64,0,ribo_H6_PBMC
65,0,ribo_H6_PBMC
66,0,ribo_H6_PBMC
67,0,ribo_H6_PBMC
68,0,ribo_H6_PBMC
69,0,ribo_H6_PBMC
70,0,ribo_H6_PBMC
71,0,ribo_H6_PBMC
72,0,ribo_H6_PBMC
73,0,ribo_H6_PBMC
74,0,ribo_H6_PBMC
75,0,ribo_H6_PBMC
76,0,ribo_H6_PBMC
77,0,ribo_H6_PBMC
78,0,ribo_H6_PBMC
79,0,ribo_H6_PBMC
80,0,ribo_H6_PBMC
81,0,ribo_H6_PBMC
82,0,ribo_H6_PBMC
83,0,ribo_H6_PBMC
84,0,ribo_H6_PBMC
85,0,ribo_H6_PBMC
86,0,ribo_H6_PBMC
87,0,ribo_H6_PBMC
88,0,ribo_H6_PBMC
89,0,ribo_H6_PBMC
90,0,ribo_H6_PBMC
91,0,ribo_H6_PBMC
92,0,ribo_H6_PBMC
93,0,ribo_H6_PBMC
94,0,ribo_H6_PBMC
95,0,ribo_H6_PBMC
96,0,ribo_H6_PBMC
97,0,ribo_H6_PBMC
98,0,ribo_H6_PBMC
99,0,ribo_H6_PBMC
100,0,ribo_H6_PBMC
101,0,ribo_H6_PBMC
102,0,ribo_H6_PBMC
103,0,ribo_H6_PBMC
104,0,ribo_H6_PBMC
105,0,ribo_H6_PBMC
106,0,ribo_H6_PBMC
107,0,ribo_H6_PBMC
108,0,ribo_H6_PBMC
109,0,ribo_H6_PBMC
110,0,ribo_H6_PBMC
111,0,ribo_H6_PBMC
112,0,ribo_H6_PBMC
113,0,ribo_H6_PBMC
114,0,ribo_H6_PBMC
115,0,ribo_H6_PBMC
116,0,ribo_H6_PBMC
117,0,ribo_H6_PBMC
118,0,ribo_H6_PBMC
119,0,ribo_H6_PBMC
120,0,ribo_H6_PBMC
121,0,ribo_H6_PBMC
122,0,ribo_H6_PBMC
123,0,ribo_H6_PBMC
124,0,ribo_H6_PBMC
125,0,ribo_H6_PBMC
126,0,ribo_H6_PBMC
127,0,ribo_H6_PBMC
128,0,ribo_H6_PBMC
129,0,ribo_H6_PBMC
130,0,ribo_H6_PBMC
131,0,ribo_H6_PBMC
132,0,ribo_H6_PBMC
133,0,ribo_H6_PBMC
134,0,ribo_H6_PBMC
135,0,ribo_H6_PBMC
136,0,ribo_H6_PBMC
137,0,ribo_H6_PBMC
138,0,ribo_H6_PBMC
139,0,ribo_H6_PBMC
140,0,ribo_H6_PBMC
141,0,ribo_H6_PBMC
142,0,ribo_H6_PBMC
143,0,ribo_H6_PBMC
144,0,ribo_H6_PBMC
145,0,ribo_H6_PBMC
146,0,ribo_H6_PBMC
147,0,ribo_H6_PBMC
148,0,ribo_H6_PBMC
149,0,ribo_H6_PBMC
150,0,ribo_H6_PBMC
151,0,ribo_H6_PBMC
152,0,ribo_H6_PBMC
153,0,ribo_H6_PBMC
154,0,ribo_H6_PBMC
155,0,ribo_H6_PBMC
156,0,ribo_H6_PBMC
157,0,ribo_H6_PBMC
158,0,ribo_H6_PBMC
159,0,ribo_H6_PBMC
160,0,ribo_H6_PBMC
161,0,ribo_H6_PBMC
162,0,ribo_H6_PBMC
163,0,ribo_H6_PBMC
164,0,ribo_H6_PBMC
165,0,ribo_H6_PBMC
166,0,ribo_H6_PBMC
167,0,ribo_H6_PBMC
168,0,ribo_H6_PBMC
169,0,ribo_H6_PBMC
170,0,ribo_H6_PBMC
171,0,ribo_H6_PBMC
172,0,ribo_H6_PBMC
173,0,ribo_H6_PBMC
174,0,ribo_H6_PBMC
175,0,ribo_H6_PBMC
176,0,ribo_H6_PBMC
177,0,ribo_H6_PBMC
178,0,ribo_H6_PBMC
179,0,ribo_H6_PBMC
180,0,ribo_H6_PBMC
181,0,ribo_H6_PBMC
182,0,ribo_H6_PBMC
183,0,ribo_H6_PBMC
184,0,ribo_H6_PBMC
185,0,ribo_H6_PBMC
186,0,ribo_H6_PBMC
187,0,ribo_H6_PBMC
188,0,ribo_H6_PBMC
189,0,ribo_H6_PBMC
190,0,ribo_H6_PBMC
191,0,ribo_H6_PBMC
192,0,ribo_H6_PBMC
193,0,ribo_H6_PBMC
194,0,ribo_H6_PBMC
195,0,ribo_H6_PBMC
196,0,ribo_H6_PBMC
197,0,ribo_H6_PBMC
198,0,ribo_H6_PBMC
199,0,ribo_H6_PBMC
200,0,ribo_H6_PBMC
201,0,ribo_H6_PBMC
202,0,ribo_H6_PBMC
203,0,ribo_H6_PBMC
204,0,ribo_H6_PBMC
205,0,ribo_H6_PBMC
206,0,ribo_H6_PBMC
207,0,ribo_H6_PBMC
208,0,ribo_H6_PBMC
209,0,ribo_H6_PBMC
210,0,ribo_H6_PBMC
211,0,ribo_H6_PBMC
212,0,ribo_H6_PBMC
213,0,ribo_H6_PBMC
214,0,ribo_H6_PBMC
215,0,ribo_H6_PBMC
216,0,ribo_H6_PBMC
217,0,ribo_H6_PBMC
218,0,ribo_H6_PBMC
219,0,ribo_H6_PBMC
220,0,ribo_H6_PBMC
221,0,ribo_H6_PBMC
222,0,ribo_H6_PBMC
223,0,ribo_H6_PBMC
224,0,ribo_H6_PBMC
225,0,ribo_H6_PBMC
226,0,ribo_H6_PBMC
227,0,ribo_H6_PBMC
228,0,ribo_H6_PBMC
229,0,ribo_H6_PBMC
230,0,ribo_H6_PBMC
231,0,ribo_H6_PBMC
232,0,ribo_H6_PBMC
233,0,ribo_H6_PBMC
234,0,ribo_H6_PBMC
235,0,ribo_H6_PBMC
236,0,ribo_H6_PBMC
237,0,ribo_H6_PBMC
238,0,ribo_H6_PBMC
239,0,ribo_H6_PBMC
240,0,ribo_H6_PBMC
241,0,ribo_H6_PBMC
242,0,ribo_H6_PBMC
243,0,ribo_H6_PBMC
244,0,ribo_H6_PBMC
245,0,ribo_H6_PBMC
246,0,ribo_H6_PBMC
247,0,ribo_H6_PBMC
248,0,ribo_H6_PBMC
249,0,ribo_H6_PBMC
250,0,ribo_H6_PBMC
251,0,ribo_H6_PBMC
252,0,ribo_H6_PBMC
253,0,ribo_H6_PBMC
254,0,ribo_H6_PBMC
255,0,ribo_H6_PBMC
256,0,ribo_H6_PBMC
257,0,ribo_H6_PBMC
258,0,ribo_H6_PBMC
259,0,ribo_H6_PBMC
260,0,ribo_H6_PBMC
261,0,ribo_H6_PBMC
262,0,ribo_H6_PBMC
263,0,ribo_H6_PBMC
264,0,ribo_H6_PBMC
265,0,ribo_H6_PBMC
266,0,ribo_H6_PBMC
267,0,ribo_H6_PBMC
268,0,ribo_H6_PBMC
269,0,ribo_H6_PBMC
270,0,ribo_H6_PBMC
271,0,ribo_H6_PBMC
272,0,ribo_H6_PBMC
273,0,ribo_H6_PBMC
274,0,ribo_H6_PBMC
275,0,ribo_H6_PBMC
276,0,ribo_H6_PBMC
277,0,ribo_H6_PBMC
278,0,ribo_H6_PBMC
279,0,ribo_H6_PBMC
280,0,ribo_H6_PBMC
281,0,ribo_H6_PBMC
282,0,ribo_H6_PBMC
283,0,ribo_H6_PBMC
284,0,ribo_H6_PBMC
285,0,ribo_H6_PBMC
286,0,ribo_H6_PBMC
287,0,ribo_H6_PBMC
288,0,ribo_H6_PBMC
289,0,ribo_H6_PBMC
290,0,ribo_H6_PBMC
291,0,ribo_H6_PBMC
292,0,ribo_H6_PBMC
293,0,ribo_H6_PBMC
294,0,ribo_H6_PBMC
295,0,ribo_H6_PBMC
296,0,ribo_H6_PBMC
297,0,ribo_H6_PBMC
298,0,ribo_H6_PBMC
299,0,ribo_H6_PBMC
300,0,ribo_H6_PBMC
301,0,ribo_H6_PBMC
302,0,ribo_H6_PBMC
303,0,ribo_H6_PBMC
304,0,ribo_H6_PBMC
305,0,ribo_H6_PBMC
306,0,ribo_H6_PBMC
307,0,ribo_H6_PBMC
308,0,ribo_H6_PBMC
309,0,ribo_H6_PBMC
310,0,ribo_H6_PBMC
311,0,ribo_H6_PBMC
312,0,ribo_H6_PBMC
313,0,ribo_H6_PBMC
314,0,ribo_H6_PBMC
315,0,ribo_H6_PBMC
316,0,ribo_H6_PBMC
317,0,ribo_H6_PBMC
318,0,ribo_H6_PBMC
319,0,ribo_H6_PBMC
320,0,ribo_H6_PBMC
321,0,ribo_H6_PBMC
322,0,ribo_H6_PBMC
323,0,ribo_H6_PBMC
324,0,ribo_H6_PBMC
325,0,ribo_H6_PBMC
326,0,ribo_H6_PBMC
327,0,ribo_H6_PBMC
328,0,ribo_H6_PBMC
329,0,ribo_H6_PBMC
330,0,ribo_H6_PBMC
331,0,ribo_H6_PBMC
332,0,ribo_H6_PBMC
333,0,ribo_H6_PBMC
334,0,ribo_H6_PBMC
335,0,ribo_H6_PBMC
336,0,ribo_H6_PBMC
337,0,ribo_H6_PBMC
338,0,ribo_H6_PBMC
339,0,ribo_H6_PBMC
340,0,ribo_H6_PBMC
341,0,ribo_H6_PBMC
342,0,ribo_H6_PBMC
343,0,ribo_H6_PBMC
344,0,ribo_H6_PBMC
345,0,ribo_H6_PBMC
346,0,ribo_H6_PBMC
347,0,ribo_H6_PBMC
348,0,ribo_H6_PBMC
349,0,ribo_H6_PBMC
350,0,ribo_H6_PBMC
351,0,ribo_H6_PBMC
352,0,ribo_H6_PBMC
353,0,ribo_H6_PBMC
354,0,ribo_H6_PBMC
355,0,ribo_H6_PBMC
356,0,ribo_H6_PBMC
357,0,ribo_H6_PBMC
358,0,ribo_H6_PBMC
359,0,ribo_H6_PBMC
360,0,ribo_H6_PBMC
361,0,ribo_H6_PBMC
362,0,ribo_H6_PBMC
363,0,ribo_H6_PBMC
364,0,ribo_H6_PBMC
365,0,ribo_H6_PBMC
366,0,ribo_H6_PBMC
367,0,ribo_H6_PBMC
368,0,ribo_H6_PBMC
369,0,ribo_H6_PBMC
370,0,ribo_H6_PBMC
371,0,ribo_H6_PBMC
372,0,ribo_H6_PBMC
373,0,ribo_H6_PBMC
374,0,ribo_H6_PBMC
375,0,ribo_H6_PBMC
376,0,ribo_H6_PBMC
377,0,ribo_H6_PBMC
